kharakteristik,semua nomor peternakan,peternakan dengan lahan alami untuk jumlah padang rumput,peternakan dengan lahan alami untuk padang rumput persen,lahan alami untuk padang rumput seluas hektar,lahan alami untuk padang rumput rata-rata luas per hektar lahan,lahan alami untuk padang rumput sebagai persentase luas lahan pertanian
semua peternakan,205730.0,82865.0,40.3,14703330.0,177.4,22.7
semua peternakan di bawah 100,105169.0,33915.0,32.2,470698.0,13.9,12.0
semua peternakan 100 hingga 199,34182.0,14408.0,42.2,625001.0,43.4,12.6
semua peternakan 200 hingga 299,15226.0,6985.0,45.9,518719.0,74.3,13.8
semua peternakan 300 hingga 399,10730.0,5290.0,49.3,558330.0,105.5,14.9
semua peternakan 400 hingga 499,6650.0,3348.0,50.3,455551.0,136.1,15.3
semua peternakan 500 hingga 749,11918.0,6324.0,53.1,1209269.0,191.2,16.6
semua peternakan 750 hingga 999,7075.0,3838.0,54.2,1033186.0,269.2,16.9
semua peternakan 1.000 hingga 1.999,10145.0,5742.0,56.6,2678327.0,466.4,19.4
semua peternakan 2.000 atau lebih,4635.0,3015.0,65.0,7154249.0,2372.9,39.2
