kharakteristik,nomor statistik penting,angka perkiraan t1ff,t1ff / rasio statistik vital
1991,402533.0,412577.0,1.02
1992,398643.0,402927.0,1.01
1993,388394.0,367551.0,0.95
1994,385114.0,362704.0,0.94
1995,378016.0,354549.0,0.94
1996,366200.0,342593.0,0.94
1997,348598.0,323335.0,0.93
1998,342418.0,312984.0,0.91
1999,337249.0,304402.0,0.9
2000,327882.0,297422.0,0.91
2001,333744.0,298312.0,0.89
2002,328802.0,291549.0,0.89
2003,335202.0,292372.0,0.87
2004,337072.0,306977.0,0.91
2005,342176.0,330495.0,0.97
2006,354617.0,347806.0,0.98
2007,367864.0,356754.0,0.97
2008,377886.0,364743.0,0.97
2009,380863.0,367030.0,0.96
2010,377213.0,366916.0,0.97
2011,377636.0,368168.0,0.97
2012,381869.0,373841.0,0.98
2013,380323.0,372333.0,0.98
