kharakteristik,nomor ukuran sampel,persen definisi berbasis telur,persen definisi berbasis ei,perbedaan antara rasio definisi berbasis ei dan roe,perbedaan antara poin persentase definisi berbasis ei dan roe
status perkawinan,,,,,
status perkawinan menikah,2179467.0,54.1,72.3,1.3,18.2
status perkawinan menurut hukum adat,916691.0,48.9,77.6,1.6,28.7
status perkawinan orang tua tunggal,508553.0,28.6,44.5,1.6,15.9
jenis kelamin orang tua,,,,,
orang tua yang berjenis kelamin lawan jenis,3089827.0,52.5,73.8,1.4,21.3
orang tua yang berjenis kelamin sama dengan orang tua yang berjenis kelamin sama,1852.0,52.6,73.7,1.4,21.1
orang tua yang berjenis kelamin sama dengan orang tua yang berjenis kelamin sama,4479.0,62.8,83.2,1.3,20.4
orang tua tunggal yang berjenis kelamin laki-laki,9977.0,8.1,25.1,3.1,17.0
"jenis kelamin orang tua perempuan, orang tua tunggal",498576.0,29.0,44.9,1.5,15.9
pendapatan keluarga pada tahun sebelum kelahiran,,,,,
pendapatan keluarga pada tahun sebelum kelahiran kurang dari $30.000,925199.0,21.9,38.4,1.8,16.5
pendapatan keluarga pada tahun sebelum kelahiran $30.000 hingga $59.999,868464.0,43.8,72.5,1.7,28.7
pendapatan keluarga pada tahun sebelum kelahiran $60.000 hingga $89.999,784526.0,59.2,82.3,1.4,23.0
pendapatan keluarga pada tahun sebelum kelahiran $90.000 hingga $119.999,525228.0,69.6,87.3,1.3,17.7
"pendapatan keluarga pada tahun sebelum kelahiran $120,000 hingga $149,999",259397.0,73.9,88.7,1.2,14.8
pendapatan keluarga pada tahun sebelum kelahiran $150.000 atau lebih,241899.0,69.4,82.7,1.2,13.3
jumlah anak,,,,,
jumlah anak 0,3452200.0,48.4,68.8,1.4,20.4
jumlah anak 1,115774.0,68.0,91.1,1.3,23.1
jumlah anak 2,30387.0,62.0,86.6,1.4,24.6
jumlah anak 3,5179.0,55.8,81.4,1.5,25.6
jumlah anak 4 atau lebih,1173.0,48.3,72.6,1.5,24.3
provinsi atau wilayah,,,,,
provinsi atau wilayah newfoundland dan labrador,63480.0,31.6,62.3,2.0,30.7
provinsi atau wilayah pulau pangeran edward,14821.0,49.5,84.3,1.7,34.8
provinsi atau wilayah nova scotia,92757.0,47.7,73.5,1.5,25.8
provinsi atau wilayah brunswick baru,77176.0,46.5,77.1,1.7,30.5
provinsi atau wilayah quebec,828392.0,49.7,78.5,1.6,28.8
provinsi atau wilayah ontario,1354528.0,52.8,68.6,1.3,15.8
provinsi atau wilayah manitoba,144359.0,45.7,61.6,1.3,15.9
provinsi atau wilayah saskatchewan,126468.0,44.5,60.5,1.4,16.0
provinsi atau wilayah alberta,424162.0,46.7,65.0,1.4,18.4
provinsi atau wilayah columbia inggris,431247.0,47.5,68.0,1.4,20.6
wilayah provinsi atau teritori,19236.0,34.4,50.9,1.5,16.5
