kharakteristik,semua nomor peternakan,pertanian dengan jumlah hutan dan lahan basah,persen lahan pertanian dengan hutan dan lahan basah,hutan dan lahan basah seluas hektar,luas rata-rata hutan dan lahan basah per hektar lahan,hutan dan lahan basah sebagai persentase luas lahan pertanian
semua peternakan,205730.0,102744.0,49.9,4897367.0,47.7,7.6
semua peternakan di bawah 100,105169.0,50058.0,47.6,722610.0,14.4,18.4
semua peternakan 100 hingga 199,34182.0,19864.0,58.1,765816.0,38.6,15.5
semua peternakan 200 hingga 299,15226.0,8552.0,56.2,509738.0,59.6,13.5
semua peternakan 300 hingga 399,10730.0,5684.0,53.0,393563.0,69.2,10.5
semua peternakan 400 hingga 499,6650.0,3305.0,49.7,272839.0,82.6,9.2
semua peternakan 500 hingga 749,11918.0,5797.0,48.6,517592.0,89.3,7.1
semua peternakan 750 hingga 999,7075.0,3262.0,46.1,369410.0,113.2,6.1
semua peternakan 1.000 hingga 1.999,10145.0,4547.0,44.8,692727.0,152.3,5.0
semua peternakan 2.000 atau lebih,4635.0,1675.0,36.1,653073.0,389.9,3.6
