kharakteristik,nomor asli laki-laki,persen penduduk asli laki-laki,persen perubahan jumlah penduduk asli laki-laki dari tahun 2007/2008,nomor laki-laki non-aborigin,persen laki-laki non-aborigin,persentase perubahan jumlah laki-laki non-aborigin dari tahun 2007/2008,nomor identitas penduduk asli laki-laki yang tidak diketahui,persentase identitas penduduk asli laki-laki yang tidak diketahui,persen perubahan jumlah penduduk asli laki-laki yang tidak diketahui identitasnya dari tahun 2007/2008
newfoundland dan labrador,359,21,15.0,1329,79,7.0,0,0,
pulau pangeran Edward,23,4,,548,95,,6,1,-99.0
Nova Scotia,214,5,-44.0,3487,89,-23.0,201,5,279.0
brunswick baru,400,9,6.0,4149,91,-6.0,3,0,-57.0
Quebec,1903,5,69.0,38193,95,9.0,0,0,
ontario,6822,11,-14.0,53119,89,-36.0,0,0,
manitoba,17066,72,60.0,6500,28,5.0,0,0,
saskatchewan,8000,73,21.0,2655,24,49.0,332,3,66.0
alberta,13456,38,17.0,21032,60,-7.0,469,1,
columbia inggris,7181,31,83.0,16011,69,-6.0,77,0,-83.0
yukon,269,62,-39.0,166,38,19.0,0,0,
wilayah barat laut,846,86,23.0,123,12,8.0,20,2,186.0
nunavut,875,96,30.0,0,0,,40,4,33.0
total provinsi dan wilayah,57414,28,28.0,147312,72,-17.0,1148,1,-45.0
federal,1884,28,18.0,4897,72,-25.0,0,0,
