kharakteristik,nomor hak asuh total,total persen hak asuh berubah dari 2016/2017,jumlah total pengawasan masyarakat,total persen perubahan pengawasan masyarakat dari tahun 2016/2017,jumlah layanan pemasyarakatan,total persen perubahan pelayanan pemasyarakatan dari tahun 2016/2017
newfoundland dan labrador,65,-20,192,22,257,8
pulau pangeran Edward,24,-35,110,-22,134,-25
brunswick baru,212,8,261,-8,473,-2
ontario,2741,-17,2797,-11,5538,-14
manitoba,2058,-19,1542,-14,3600,-17
saskatchewan,1413,-18,2136,-11,3549,-14
columbia inggris,778,-11,2192,1,2970,-3
wilayah barat laut,57,50,47,15,104,32
nunavut,13,-67,26,-35,39,-51
total-semua yurisdiksi,7361,-16,9303,-9,16664,-12
