kharakteristik,2010 jutaan dolar,2011 jutaan dolar,2012 jutaan dolar,2013 jutaan dolar,2014 jutaan dolar,Perubahan persentase tahun 2011,Perubahan persentase tahun 2012,Perubahan persentase tahun 2013,Perubahan persentase tahun 2014
Kanada,4885.8,5124.3,5306.3,5592.4,5750.3,4.9,3.6,5.4,2.8
newfoundland dan labrador,49.0,50.6,53.8,54.5,55.3,3.3,6.3,1.3,1.5
pulau pangeran Edward,21.2,21.9,22.1,22.3,22.5,3.3,0.9,0.9,0.9
Nova Scotia,89.3,93.1,97.0,97.8,98.2,4.3,4.2,0.8,0.4
brunswick baru,87.3,91.3,91.9,91.2,90.5,4.6,0.7,-0.8,-0.8
Quebec,749.1,799.0,822.5,874.9,901.6,6.7,2.9,6.4,3.1
ontario,2126.7,2221.6,2297.3,2425.6,2486.6,4.5,3.4,5.6,2.5
manitoba,123.2,137.8,146.8,156.4,160.3,11.9,6.5,6.5,2.5
saskatchewan,145.3,158.1,173.7,184.7,191.3,8.8,9.9,6.3,3.6
alberta,555.9,622.8,670.7,716.4,750.2,12.0,7.7,6.8,4.7
columbia inggris,921.0,909.3,910.7,948.4,973.5,-1.3,0.2,4.1,2.6
yukon,5.9,6.0,6.0,6.3,6.4,1.7,0.0,5.0,1.6
wilayah barat laut,6.7,7.2,7.7,7.8,7.6,7.5,6.9,1.3,-2.6
nunavut,5.1,5.6,6.0,6.1,6.2,9.8,7.1,1.7,1.6
