kharakteristik,revisi pangsa rata-rata produk domestik bruto nasional,pangsa rata-rata produk domestik bruto nasional yang dipublikasikan sebelumnya,revisi pangsa produk domestik bruto nasional,bagian yang diterbitkan sebelumnya dari produk domestik bruto nasional
persen Newfoundland dan Labrador,1.5,1.5,1.8,1.9
persen pulau pangeran Edward,0.3,0.3,0.3,0.3
persen nova scotia,2.3,2.3,2.0,2.1
persen brunswick baru,1.9,1.9,1.7,1.7
persen Quebec,20.8,20.8,19.1,19.2
persen ontario,39.4,39.2,36.6,36.8
persen manitoba,3.3,3.3,3.3,3.2
persen saskatchewan,3.5,3.5,4.4,4.4
persen alberta,14.4,14.3,18.2,17.9
persen British Columbia,12.3,12.2,12.0,12.1
persen yukon,0.1,0.1,0.1,0.1
persen wilayah barat laut,0.4,0.4,0.2,0.2
persen nunavut,0.1,0.1,0.1,0.1
