kharakteristik,jumlah penduduk tahun 2016,nomor layanan polisi kota,nomor dinas kepolisian provinsi,nomor polisi kontrak polisi yang dipasang di kerajaan Kanada,nomor polisi federal dan kepolisian lainnya yang dipasang di kerajaan Kanada,jumlah total petugas polisi,petugas polisi per 100.000 penduduk,persen perubahan tarif 2015 ke 2016 persen,persen perubahan tarif 2006 ke 2016 persen
newfoundland dan labrador,530128.0,,409.0,409.0,92,910,172.0,2.1,9.7
pulau pangeran Edward,148649.0,97.0,,101.0,29,227,153.0,-0.9,-4.3
Nova Scotia,949501.0,869.0,,789.0,164,1822,192.0,-2.4,8.0
brunswick baru,756780.0,436.0,,695.0,154,1285,170.0,0.2,-1.9
Quebec,8326089.0,9495.0,5476.0,,898,15869,191.0,-1.7,-3.7
ontario,13982984.0,18440.0,6097.0,,1631,26168,187.0,-1.5,-0.3
manitoba,1318128.0,1584.0,,797.0,177,2558,194.0,-3.3,-0.7
saskatchewan,1150632.0,1056.0,,1018.0,230,2304,200.0,-0.8,-2.1
alberta,4252879.0,4303.0,,2640.0,369,7312,172.0,0.4,5.0
columbia inggris,4751612.0,2532.0,,5378.0,851,8761,184.0,-0.2,1.9
yukon,37492.0,,,119.0,19,138,368.0,5.9,2.4
wilayah barat laut,44469.0,,,178.0,21,199,448.0,-1.5,13.0
nunavut,37082.0,,,116.0,15,131,353.0,-1.5,-10.8
total provinsi dan teritorial,36286425.0,38812.0,11982.0,12240.0,4650,67684,187.0,-1.1,-0.2
markas besar polisi dan akademi pelatihan yang dipasang di kerajaan Kanada total provinsi dan teritorial,,,,,1089,1089,,,
Kanada,36286425.0,38812.0,11982.0,12240.0,5739,68773,190.0,-1.2,-1.2
