kharakteristik,jumlah penduduk tahun 2015,nomor polisi 2016 nomor polisi,petugas polisi 2016 petugas polisi per 100.000 penduduk,persentase petugas polisi berubah dari persen tahun sebelumnya,nomor perekrutan,nomor keberangkatan,keuntungan atau kerugian bersih: jumlah perekrutan dan keberangkatan,petugas polisi memenuhi syarat untuk pensiun persen
"toronto, ontario",2826498.0,5366.0,190.0,-1.9,70.0,151.0,-81.0,6.5
"montreal, ya",1999795.0,4583.0,229.0,-1.9,234.0,249.0,-15.0,16.3
"wilayah kupas (mississauga/brampton), ontario",1373033.0,1967.0,143.0,-0.7,90.0,71.0,19.0,4.1
"calgary, alta",1293023.0,2172.0,168.0,-1.1,90.0,50.0,40.0,0.0
"wilayah york (markham/vaughan), ontario",1139738.0,1598.0,140.0,2.6,48.0,31.0,17.0,3.9
"Ottawa, ont",956710.0,1239.0,130.0,-3.6,46.0,27.0,19.0,4.2
"Edmonton, Alta",950421.0,1739.0,183.0,2.2,115.0,77.0,38.0,7.5
"winnipeg, kawan",718357.0,1416.0,197.0,-1.7,2.0,48.0,-46.0,25.4
"wilayah Durham (oshawa/whitby/ajax), ontario",661190.0,861.0,130.0,-1.8,13.0,27.0,-14.0,8.4
"Vancouver, SM",658198.0,1292.0,196.0,-0.2,54.0,63.0,-9.0,7.9
"Quebec, que",578749.0,771.0,133.0,7.5,68.0,13.0,55.0,1.4
"wilayah halton (oakville/burlington), ont",559213.0,690.0,123.0,0.9,30.0,16.0,14.0,2.6
"hamilton, ont",556359.0,840.0,151.0,-0.1,37.0,38.0,-1.0,19.0
"wilayah waterloo (dapur), ont",542511.0,767.0,141.0,-0.7,23.0,25.0,-2.0,0.9
"Surrey, SM",505359.0,730.0,144.0,12.6,119.0,9.0,110.0,6.0
"wilayah Niagara (st. catharines), ont",449098.0,706.0,157.0,-0.8,20.0,27.0,-7.0,6.9
"lava, ya",425225.0,600.0,141.0,5.0,0.0,15.0,-15.0,10.8
"longueuil, ya",421342.0,565.0,134.0,-1.0,9.0,15.0,-6.0,2.8
"London, ont",391925.0,582.0,148.0,-2.5,9.0,18.0,-9.0,4.1
"gatineau, ya",278780.0,395.0,142.0,-1.0,8.0,10.0,-2.0,3.8
"saskatoon, sask",258068.0,453.0,176.0,-0.9,18.0,11.0,7.0,10.2
"burnaby, b.c",242412.0,281.0,116.0,-1.2,26.0,5.0,21.0,7.8
"halifax, n.s",233874.0,512.0,219.0,0.3,28.0,17.0,11.0,6.3
"Windsor, ont",219335.0,429.0,196.0,-1.8,10.0,17.0,-7.0,0.0
"Regina, Sask",219279.0,393.0,179.0,-0.1,14.0,10.0,4.0,2.5
"richmond, b.c",205983.0,200.0,97.0,0.3,14.0,4.0,10.0,7.5
"st. John's, n.l",205776.0,342.0,166.0,4.6,32.0,14.0,18.0,28.4
"richelieu saint-laurent, que",202732.0,212.0,105.0,0.1,0.0,6.0,-6.0,0.0
"sherbrooke, ya",164666.0,203.0,123.0,-1.1,2.0,4.0,-2.0,2.0
"sudbury yang lebih besar, ont",164266.0,264.0,161.0,3.4,18.0,17.0,1.0,3.8
"barrie, ont",148134.0,237.0,160.0,-1.6,8.0,1.0,7.0,1.3
"saguenay, ya",147976.0,178.0,120.0,0.2,0.0,2.0,-2.0,2.2
"Abbotsford, SM",144949.0,212.0,146.0,-2.1,5.0,12.0,-7.0,1.9
"Levis, ya",144040.0,153.0,106.0,2.0,7.0,4.0,3.0,13.1
"terrebonne, ya",138422.0,166.0,120.0,9.2,3.0,3.0,0.0,1.2
"coquitlam, b.c",136717.0,167.0,122.0,14.8,23.0,7.0,16.0,10.2
"trois-rivieres, ya",135374.0,157.0,116.0,-2.3,8.0,7.0,1.0,1.9
"kingston, ont",130490.0,201.0,154.0,4.0,9.0,7.0,2.0,2.5
"guelph, ont",130440.0,193.0,148.0,0.2,5.0,5.0,0.0,10.9
"kelowna, b.c",128924.0,178.0,138.0,2.1,8.0,1.0,7.0,12.4
"wilayah kodiak (moncton), n.b",117287.0,147.0,125.0,-2.3,1.0,9.0,-8.0,21.8
"teluk guntur, ont",116311.0,232.0,199.0,4.4,9.0,6.0,3.0,5.2
"saanich, b.c",115609.0,158.0,137.0,0.3,10.0,8.0,2.0,3.2
"kotapraja langley, b.c",112909.0,139.0,123.0,6.5,10.0,3.0,7.0,7.9
"delta, SM",108754.0,155.0,143.0,-12.5,8.0,5.0,3.0,0.0
"chatham-kent, ont",105322.0,159.0,151.0,-1.1,0.0,5.0,-5.0,8.2
"wilayah roussillon, que",105168.0,115.0,109.0,0.9,3.0,8.0,-5.0,7.0
"rusa merah, alta",103232.0,164.0,159.0,8.3,25.0,7.0,18.0,7.3
"victoria, SM",102973.0,243.0,236.0,-1.0,11.0,13.0,-2.0,21.4
"wilayah lethbridge, alta",100995.0,161.0,159.0,-5.9,1.0,4.0,-3.0,10.6
