kharakteristik,jumlah populasi,indeks indeks keparahan kejahatan total,persentase perubahan indeks keparahan kejahatan total tahun 2015 ke tahun 2016,persentase perubahan indeks keparahan kejahatan total tahun 2006 hingga 2016,indeks indeks keparahan kejahatan kekerasan,persen perubahan indeks keparahan kejahatan kekerasan tahun 2015 ke tahun 2016,indeks indeks keparahan kejahatan tanpa kekerasan,persen perubahan indeks keparahan kejahatan tanpa kekerasan dari tahun 2015 ke tahun 2016
st. milik John,207695,79.2,7,-14.0,88.9,11,75.5,5
halifax,426083,61.0,-4,-50.0,77.3,-5,55.0,-3
monton,157321,75.7,-4,,79.3,7,74.2,-7
santo john,127930,52.7,-6,,63.8,-3,48.5,-7
saguenay,167054,56.9,6,-2.0,67.7,10,52.9,4
Quebec,800570,45.2,8,-38.0,51.5,17,42.8,4
sherbrooke,199344,50.3,1,-38.0,55.6,25,48.2,-6
trois-rivieres,156649,48.7,-14,-34.0,46.2,-23,49.5,-10
montreal,4102619,57.8,-5,-44.0,73.1,-4,52.1,-5
gatineau,331114,56.7,6,-34.0,63.8,15,54.0,3
Ottawa,1013615,51.3,10,-37.0,62.1,15,47.2,8
kingston,167773,55.2,-2,-30.0,38.5,-29,61.2,7
peterborough,123555,55.1,0,-31.0,68.9,20,50.0,-7
toronto,6184845,47.5,4,-35.0,70.4,8,39.1,2
hamilton,760381,53.6,6,-37.0,66.0,20,49.0,0
st. catharines-niagara,453817,50.3,-4,-41.0,37.6,-11,54.9,-1
tukang dapur-cambridge-waterloo,548936,61.2,1,-23.0,60.1,8,61.4,-1
Brantford,146557,86.8,13,-24.0,88.4,27,86.0,8
guelph,132350,54.6,9,-9.0,49.1,1,56.5,12
London,515409,68.4,5,-33.0,59.4,5,71.5,5
Windsor,334859,65.1,4,-27.0,58.1,-12,67.6,11
barrie,216661,45.4,5,-42.0,46.3,6,45.0,4
sudbury yang lebih besar,165154,63.5,7,-29.0,61.4,-5,64.2,12
teluk guntur,120520,85.9,6,-23.0,125.6,4,71.2,8
winnipeg,795643,103.9,16,-37.0,149.6,20,87.0,14
regina,247634,125.8,15,-36.0,124.1,14,126.2,15
saskatoon,320527,117.8,5,-29.0,114.0,1,118.9,6
calgary,1474624,74.6,-6,-23.0,61.3,-16,79.3,-2
edmonton,1387281,105.7,3,-19.0,102.5,-2,106.7,5
kelowna,196940,100.3,0,-29.0,62.7,-15,113.7,4
misi Abbotsford,186274,91.4,-5,-36.0,82.3,-8,94.4,-4
vancouver,2551096,94.3,-1,-32.0,72.8,-14,102.0,3
Victoria,371057,63.8,-12,-45.0,56.8,-18,66.2,-9
Kanada,36286425,71.0,1,-29.0,75.3,0,69.3,2
