kharakteristik,nomor pembunuhan,tingkat pembunuhan,tingkat kekerasan seksual,persentase perubahan kekerasan seksual pada tahun 2015 hingga 2016,tingkat perampokan,persen perampokan perubahan tarif 2015 ke 2016,tingkat kerusakan dan masuk,melanggar dan memasukkan persen perubahan tarif 2015 ke 2016,tingkat pencurian kendaraan bermotor,persen perubahan angka pencurian kendaraan bermotor tahun 2015 ke tahun 2016
st. milik John,4.0,1.93,69.0,-7.0,87.0,20.0,602.0,18.0,118.0,12.0
halifax,12.0,2.82,75.0,-9.0,45.0,-23.0,239.0,-16.0,90.0,-5.0
monton,1.0,0.64,43.0,-2.0,64.0,62.0,561.0,-3.0,147.0,13.0
santo john,3.0,2.35,41.0,-46.0,48.0,48.0,231.0,-8.0,58.0,-15.0
saguenay,2.0,1.2,53.0,-10.0,16.0,-15.0,338.0,0.0,117.0,-9.0
Quebec,1.0,0.12,47.0,3.0,19.0,13.0,319.0,-1.0,71.0,-2.0
sherbrooke,2.0,1.0,58.0,15.0,19.0,-23.0,286.0,-12.0,54.0,-2.0
trois-rivieres,0.0,0.0,54.0,1.0,12.0,-66.0,336.0,-11.0,85.0,-25.0
montreal,42.0,1.02,46.0,11.0,74.0,-10.0,386.0,-5.0,168.0,-11.0
gatineau,3.0,0.91,48.0,9.0,32.0,44.0,320.0,5.0,71.0,-28.0
Ottawa,24.0,2.37,59.0,14.0,50.0,-13.0,270.0,16.0,88.0,-1.0
kingston,0.0,0.0,60.0,-7.0,18.0,-17.0,395.0,19.0,72.0,-9.0
peterborough,2.0,1.62,97.0,10.0,41.0,-15.0,304.0,-25.0,57.0,-1.0
toronto,96.0,1.55,44.0,-2.0,83.0,10.0,205.0,-9.0,113.0,4.0
hamilton,12.0,1.58,64.0,6.0,70.0,21.0,308.0,5.0,217.0,-1.0
st. catharines-niagara,1.0,0.22,53.0,-7.0,31.0,-11.0,373.0,-11.0,160.0,5.0
tukang dapur-cambridge-waterloo,6.0,1.09,51.0,-12.0,51.0,6.0,358.0,-11.0,137.0,-3.0
Brantford,4.0,2.73,68.0,-12.0,68.0,14.0,588.0,12.0,454.0,-2.0
guelph,1.0,0.76,64.0,33.0,22.0,-8.0,347.0,16.0,119.0,49.0
London,8.0,1.55,46.0,10.0,55.0,4.0,389.0,9.0,195.0,-12.0
Windsor,3.0,0.9,52.0,15.0,61.0,10.0,506.0,23.0,199.0,14.0
barrie,2.0,0.92,54.0,14.0,32.0,28.0,200.0,-8.0,68.0,-12.0
sudbury yang lebih besar,0.0,0.0,61.0,1.0,48.0,10.0,454.0,20.0,101.0,-17.0
teluk guntur,8.0,6.64,85.0,7.0,118.0,-21.0,492.0,18.0,158.0,1.0
winnipeg,25.0,3.14,98.0,14.0,229.0,27.0,682.0,14.0,315.0,3.0
regina,8.0,3.23,59.0,-4.0,118.0,18.0,760.0,7.0,523.0,17.0
saskatoon,10.0,3.12,95.0,44.0,116.0,-11.0,791.0,-3.0,453.0,16.0
calgary,33.0,2.24,44.0,-14.0,62.0,-24.0,576.0,-10.0,535.0,0.0
edmonton,47.0,3.39,72.0,-8.0,103.0,-8.0,582.0,-4.0,483.0,10.0
kelowna,5.0,2.54,34.0,-18.0,41.0,-28.0,620.0,-3.0,316.0,-11.0
misi Abbotsford,6.0,3.22,42.0,0.0,64.0,-36.0,577.0,-19.0,493.0,-1.0
vancouver,41.0,1.61,44.0,2.0,78.0,-24.0,678.0,-1.0,312.0,-7.0
Victoria,1.0,0.27,64.0,7.0,37.0,-15.0,326.0,-20.0,108.0,0.0
Kanada,611.0,1.68,58.0,-1.0,60.0,-3.0,439.0,-2.0,217.0,-1.0
