kharakteristik,2007,2008,2009,2010,2011,2012
newfoundland dan labrador,13505.0,11531.0,10497.0,9577.0,8660.0,9175.0
pulau pangeran Edward,9593.0,9632.0,10642.0,10824.0,12554.0,12910.0
Nova Scotia,11070.0,11027.0,11752.0,11428.0,12297.0,12564.0
brunswick baru,8347.0,8671.0,9920.0,11120.0,12301.0,12912.0
Quebec,11992.0,12961.0,14885.0,15785.0,16336.0,17043.0
ontario,9849.0,10650.0,13043.0,14850.0,16896.0,17734.0
manitoba,8630.0,8426.0,8583.0,9535.0,11936.0,12832.0
saskatchewan,4479.0,2573.0,3106.0,2869.0,4132.0,3687.0
alberta,11134.0,8910.0,8581.0,7271.0,6281.0,5874.0
columbia inggris,2330.0,2898.0,3555.0,3989.0,5495.0,5581.0
yukon,14652.0,13091.0,12022.0,10098.0,10762.0,13436.0
wilayah barat laut,10630.0,9373.0,7254.0,1685.0,10.0,1894.0
nunavut,6208.0,4262.0,4264.0,4746.0,6555.0,11654.0
Kanada,6888.0,7620.0,9165.0,10306.0,11673.0,12215.0
