kharakteristik,nomor pembunuhan,tingkat pembunuhan,perubahan persentase pembunuhan pada tahun 2018 ke 2019,nomor percobaan pembunuhan,tingkat percobaan pembunuhan,persen perubahan angka percobaan pembunuhan tahun 2018 ke tahun 2019,nomor serangan besar,tingkat serangan besar,perubahan persentase serangan besar pada tahun 2018 hingga 2019,nomor perampokan,tingkat perampokan,persen perampokan perubahan tarif 2018 ke 2019
newfoundland dan labrador,5,0.96,,4,0.77,,742,142,20,162,31,-24
pulau pangeran Edward,2,1.27,,0,0.0,,111,71,0,24,15,12
Nova Scotia,6,0.62,-46.0,43,4.43,124.0,1254,129,8,237,24,-25
brunswick baru,15,1.93,15.0,17,2.19,87.0,1162,150,8,173,22,-16
Quebec,77,0.91,-8.0,200,2.36,6.0,11482,135,7,3417,40,4
ontario,246,1.69,-11.0,345,2.37,-10.0,17029,117,2,8936,61,-1
manitoba,72,5.26,29.0,26,1.9,-29.0,6157,450,11,2688,196,-1
saskatchewan,55,4.68,60.0,69,5.88,90.0,4638,395,9,1110,95,10
alberta,100,2.29,21.0,53,1.21,-2.0,10162,232,6,3621,83,2
columbia inggris,90,1.77,-1.0,100,1.97,12.0,9229,182,19,2856,56,13
yukon,1,2.45,,1,2.45,,228,558,3,22,54,37
wilayah barat laut,2,4.46,,1,2.23,,544,1214,26,34,76,-13
nunavut,7,18.05,-14.0,6,15.47,-26.0,602,1552,32,16,41,21
Kanada,678,1.8,2.0,865,2.3,4.0,63340,169,8,23296,62,2
