kharakteristik,Nomor laporan tahun 2017,Nomor 2017 tidak berdasar,2017 persen tidak berdasar,Nomor yang dilaporkan tahun 2018,Nomor 2018r tidak berdasar,2018r persen tidak berdasar,Nomor laporan tahun 2019,Angka tak berdasar tahun 2019,2019 persen tidak berdasar
keseluruhan KUHP,2117353.0,153224.0,7.0,2186628,143300,7,2350631,142555,6
kejahatan kekerasan total,461899.0,55273.0,12.0,478598,51759,11,532973,52969,10
pembunuhan kejahatan kekerasan total,666.0,0.0,0.0,658,0,0,678,0,0
kejahatan kekerasan total pelanggaran lain yang menyebabkan kematian,121.0,21.0,17.0,150,17,11,118,10,8
kejahatan kekerasan total percobaan pembunuhan,830.0,9.0,1.0,827,6,1,870,5,1
"kejahatan kekerasan total, penyerangan seksual - level 3 - diperburuk",175.0,15.0,9.0,172,14,8,134,9,7
kejahatan kekerasan total penyerangan seksual - level 2 - senjata atau cedera tubuh,453.0,30.0,7.0,513,23,4,551,26,5
"kejahatan kekerasan total, penyerangan seksual - level 1",28196.0,4039.0,14.0,31633,3724,12,33705,3420,10
total kejahatan kekerasan pelanggaran seksual yang terjadi sebelum 4 Januari 1983,,,,593,19,3,552,18,3
kejahatan kekerasan total pelanggaran seksual terhadap anak,9604.0,1328.0,14.0,10301,1226,12,11359,1321,12
serangan kejahatan kekerasan total - level 3 - diperburuk,3630.0,46.0,1.0,3633,49,1,3984,60,2
serangan kejahatan kekerasan total - level 2 - senjata atau cedera tubuh,53816.0,1676.0,3.0,55791,1573,3,61138,1722,3
serangan kejahatan kekerasan total - level 1,184253.0,20974.0,11.0,190124,19986,11,209074,21248,10
serangan kejahatan kekerasan total terhadap petugas perdamaian,11024.0,59.0,1.0,11796,45,0,12173,41,0
kejahatan kekerasan total penyerangan lainnya,2198.0,225.0,10.0,2358,234,10,2520,294,12
"senjata api kejahatan kekerasan total - penggunaan, pelepasan, penunjukan",3047.0,281.0,9.0,3121,260,8,3772,269,7
perampokan kejahatan kekerasan total,24027.0,1196.0,5.0,23781,1231,5,24614,1318,5
"kejahatan kekerasan total, kurungan paksa atau penculikan",4288.0,509.0,12.0,3987,497,12,4210,515,12
kejahatan kekerasan total perdagangan orang,314.0,46.0,15.0,288,50,17,405,64,16
pemerasan kejahatan kekerasan total,3350.0,164.0,5.0,4890,166,3,4330,156,4
pelecehan kriminal kejahatan kekerasan total,25123.0,5241.0,21.0,24769,5078,21,28431,5106,18
kejahatan kekerasan total yang mengucapkan ancaman,76376.0,13085.0,17.0,78767,11961,15,93136,11775,13
kejahatan kekerasan total tidak senonoh dan melecehkan komunikasi,21827.0,5246.0,24.0,22420,4648,21,27878,4589,16
kejahatan kekerasan total distribusi gambar-gambar intim tanpa persetujuan,1709.0,197.0,12.0,1665,182,11,2185,213,10
tindak pidana kekerasan total yang berkaitan dengan layanan seksual,1185.0,67.0,6.0,1082,38,4,1230,67,5
kejahatan kekerasan total pelanggaran KUHP kekerasan lainnya,5687.0,819.0,14.0,5279,732,14,5926,723,12
kejahatan properti total,1264768.0,71449.0,6.0,1308062,66979,5,1385164,65602,5
total kejahatan properti yang membobol dan masuk,171107.0,11481.0,7.0,171488,11159,7,172553,11262,7
total kejahatan properti memiliki properti curian,25664.0,1465.0,6.0,25794,1436,6,27135,1383,5
kejahatan harta benda total pencurian kendaraan bermotor,94515.0,9400.0,10.0,95445,9253,10,95660,8594,9
total pencurian kejahatan properti lebih dari $5.000,18731.0,1466.0,8.0,21456,1352,6,22647,1290,6
total kejahatan properti mengutil di bawah $5.000,109475.0,1162.0,1.0,126002,1106,1,142230,1944,1
total pencurian kejahatan properti sebesar $5.000 atau kurang,419235.0,22363.0,5.0,428338,20771,5,444058,19619,4
penipuan kejahatan properti total,120349.0,7183.0,6.0,136416,6408,5,148362,6222,4
pencurian identitas kejahatan properti total,3455.0,160.0,5.0,3960,145,4,4852,169,3
penipuan identitas kejahatan properti total,14822.0,478.0,3.0,16261,413,3,20084,420,2
kejahatan kejahatan properti total,277492.0,14917.0,5.0,273597,13680,5,298079,13385,4
pembakaran kejahatan properti total,9923.0,1374.0,14.0,9305,1256,13,9504,1314,14
total pelanggaran KUHP lainnya,390686.0,26502.0,7.0,399968,24562,6,432494,23984,6
total pelanggaran KUHP lainnya pelanggaran senjata,18265.0,2395.0,13.0,19067,2478,13,21223,2601,12
total tindak pidana KUHP lainnya pornografi anak,7581.0,1161.0,15.0,6733,799,12,9678,863,9
total tindak pidana prostitusi lainnya,139.0,17.0,12.0,121,6,5,142,7,5
total tindak pidana KUHP lainnya terorisme,199.0,109.0,55.0,185,77,42,150,65,43
total pelanggaran hukum pidana lainnya mengganggu ketenangan,103214.0,6663.0,6.0,100385,6006,6,116131,5687,5
jumlah pelanggaran KUHP lainnya pelanggaran administrasi peradilan,229343.0,12081.0,5.0,240720,11470,5,248584,11238,5
total pelanggaran KUHP lainnya pelanggaran lainnya,31945.0,4076.0,13.0,32757,3726,11,36586,3523,10
total pelanggaran lalu lintas KUHP,129374.0,3958.0,3.0,129743,3853,3,140393,3687,3
total KUHP pelanggaran lalu lintas mengemudi dengan gangguan alkohol,69008.0,3394.0,5.0,69261,3253,5,75329,2511,3
total pelanggaran lalu lintas hukum pidana mengemudi dengan gangguan narkoba,3836.0,342.0,9.0,4824,380,8,6811,358,5
total pelanggaran lalu lintas hukum pidana mengemudi dengan gangguan alkohol dan narkoba,,,,330,63,19,5065,447,9
total pelanggaran lalu lintas KUHP gangguan mengemudi,,,,125,12,10,1977,193,10
total pelanggaran lalu lintas KUHP pelanggaran lalu lintas KUHP lainnya,56530.0,222.0,0.0,55203,145,0,51211,178,0
total pelanggaran narkoba,96571.0,3585.0,4.0,87523,2596,3,72081,1941,3
total pelanggaran undang-undang federal lainnya,32317.0,1555.0,5.0,27482,1299,5,25424,1828,7
total pelanggaran undang-undang federal lainnya perdagangan manusia berdasarkan undang-undang imigrasi dan perlindungan pengungsi,124.0,21.0,17.0,133,16,12,186,16,9
total pelanggaran undang-undang federal lainnya tindakan peradilan pidana remaja,5571.0,74.0,1.0,4843,78,2,3871,56,1
total pelanggaran undang-undang federal lainnya terhadap undang-undang federal lainnya,26622.0,1460.0,5.0,22506,1205,5,21367,1756,8
total - semua pelanggaran,2375615.0,162322.0,7.0,2431376,151048,6,2588529,150011,6
