kharakteristik,nomor 2001,nomor 2016,nomor 2018,perubahan dari nomor 2001 ke 2016,kontribusi terhadap perubahan dari tahun 2001 hingga 2016 persen
manufaktur,1977618.0,1482131.0,1552714.0,-495487.0,100.0
manufaktur manufaktur makanan,231063.0,221653.0,238085.0,-9410.0,1.9
manufaktur minuman dan produk tembakau,34925.0,37252.0,43069.0,2327.0,-0.5
manufaktur pabrik tekstil,26122.0,7621.0,6985.0,-18501.0,3.7
pabrik pembuatan produk tekstil,19707.0,9469.0,9961.0,-10238.0,2.1
manufaktur pakaian manufaktur,82770.0,19380.0,19393.0,-63390.0,12.8
manufaktur kulit dan manufaktur produk terkait,9480.0,3265.0,2568.0,-6215.0,1.3
pembuatan kertas manufaktur,103703.0,53178.0,54121.0,-50525.0,10.2
manufaktur percetakan dan kegiatan pendukung terkait,83347.0,49081.0,49871.0,-34266.0,6.9
manufaktur produk minyak bumi dan batubara,15305.0,19057.0,17791.0,3752.0,-0.8
manufaktur manufaktur kimia,93412.0,89005.0,91660.0,-4407.0,0.9
manufaktur plastik dan manufaktur produk karet,125248.0,97934.0,99552.0,-27314.0,5.5
manufaktur pembuatan produk kayu,135758.0,92281.0,93631.0,-43477.0,8.8
manufaktur produk mineral non-logam,53719.0,49935.0,53745.0,-3784.0,0.8
manufaktur manufaktur logam primer,91185.0,53900.0,56878.0,-37285.0,7.5
manufaktur pembuatan produk logam fabrikasi,184269.0,151467.0,156652.0,-32802.0,6.6
manufaktur mesin manufaktur,134897.0,127363.0,137614.0,-7534.0,1.5
manufaktur komputer dan manufaktur produk elektronik,105761.0,55159.0,56791.0,-50602.0,10.2
"manufaktur peralatan listrik, manufaktur peralatan dan komponen",48723.0,32677.0,34249.0,-16046.0,3.2
manufaktur peralatan transportasi,242700.0,191902.0,205100.0,-50798.0,10.3
manufaktur furnitur dan manufaktur produk terkait,98601.0,64744.0,67101.0,-33857.0,6.8
manufaktur aneka manufaktur,56922.0,55804.0,57898.0,-1118.0,0.2
