kharakteristik,total rata-rata gram,total interval kepercayaan 95% dari,total interval kepercayaan 95% menjadi,di bawah reporter berarti gram,interval kepercayaan 95% di bawah reporter dari,interval kepercayaan 95% di bawah reporter,reporter yang masuk akal berarti gram,reporter yang masuk akal dengan interval kepercayaan 95% dari,reporter yang masuk akal dengan interval kepercayaan 95%.,over-reporter berarti gram,interval kepercayaan 95% dari reporter yang berlebihan,interval kepercayaan 95% terhadap reporter yang berlebihan
berusia 2 hingga 8 tahun,,,,,,,,,,,,
umur 2 sampai 8 tahun makanan dan minuman,,,,,,,,,,,,
umur 2 sampai 8 tahun makanan dan minuman 2004,104.0,101.0,108.0,52.0,46.0,57.0,95.0,92.0,99.0,139.0,130.0,147.0
umur 2 s/d 8 tahun makanan dan minuman 2015,101.0,97.0,105.0,59.0,50.0,68.0,98.0,94.0,102.0,145.0,136.0,155.0
umur 2 sampai 8 tahun makanan saja,,,,,,,,,,,,
umur 2 sampai 8 tahun makanan saja 2004,53.0,51.0,56.0,23.0,19.0,27.0,48.0,45.0,50.0,74.0,68.0,80.0
umur 2 sampai 8 tahun makanan saja 2015,65.0,62.0,68.0,36.0,31.0,42.0,63.0,60.0,66.0,93.0,83.0,103.0
berusia 2 hingga 8 tahun minuman saja,,,,,,,,,,,,
berusia 2 hingga 8 tahun minuman saja 2004,51.0,49.0,53.0,29.0,24.0,34.0,48.0,45.0,50.0,65.0,59.0,71.0
usia 2 hingga 8 tahun minuman saja 2015,36.0,34.0,39.0,22.0,17.0,28.0,35.0,33.0,38.0,52.0,47.0,57.0
berusia 9 hingga 18 tahun,,,,,,,,,,,,
umur 9 sampai 18 tahun makanan dan minuman,,,,,,,,,,,,
usia 9 sampai 18 tahun makanan dan minuman 2004,128.0,124.0,131.0,65.0,61.0,69.0,119.0,116.0,122.0,199.0,190.0,209.0
umur 9 s/d 18 tahun makanan dan minuman 2015,115.0,111.0,120.0,70.0,66.0,75.0,116.0,113.0,120.0,204.0,182.0,226.0
usia 9 hingga 18 tahun makanan saja,,,,,,,,,,,,
usia 9 sampai 18 tahun makanan saja 2004,61.0,59.0,64.0,27.0,25.0,29.0,56.0,53.0,58.0,103.0,95.0,111.0
umur 9 sampai 18 tahun makanan saja 2015,69.0,67.0,72.0,41.0,38.0,45.0,70.0,67.0,72.0,125.0,114.0,137.0
berusia 9 hingga 18 tahun minuman saja,,,,,,,,,,,,
berusia 9 hingga 18 tahun minuman saja 2004,66.0,64.0,69.0,37.0,34.0,41.0,63.0,61.0,66.0,96.0,89.0,103.0
berusia 9 hingga 18 tahun minuman saja 2015,46.0,43.0,49.0,29.0,26.0,32.0,47.0,44.0,50.0,79.0,58.0,100.0
