kharakteristik,pembukaan bisnis nomor 19 April,pembukaan bisnis nomor 20 April,pembukaan usaha berubah dari nomor april 2019 menjadi nomor april 2020,perubahan pembukaan usaha dari april 2019 ke april 2020 persen,penutupan bisnis nomor 19 April,penutupan bisnis nomor 20 April,penutupan usaha berubah dari nomor april 2019 menjadi nomor april 2020,penutupan usaha berubah dari april 2019 menjadi april 2020 persen,bisnis aktif nomor 19 April,bisnis aktif nomor 20 April,perubahan bisnis aktif dari nomor april 2019 ke nomor april 2020,perubahan bisnis aktif dari April 2019 hingga April 2020 persen
Kanada,40136.0,32803.0,7333.0,-18.3,39078.0,88187.0,49109.0,125.7,798379,711472,-86907,-10.9
newfoundland dan labrador,640.0,414.0,-226.0,-35.3,600.0,1190.0,590.0,98.2,11834,10467,-1367,-11.6
pulau pangeran Edward,235.0,162.0,-74.0,-31.3,203.0,428.0,225.0,110.6,3566,3213,-353,-9.9
Nova Scotia,843.0,550.0,-293.0,-34.8,821.0,1869.0,1048.0,127.7,17470,15842,-1628,-9.3
brunswick baru,724.0,449.0,-275.0,-38.0,684.0,1519.0,835.0,121.9,14807,13392,-1415,-9.6
Quebec,6246.0,4920.0,-1326.0,-21.2,6374.0,14953.0,8578.0,134.6,169989,154173,-15816,-9.3
ontario,16394.0,12413.0,-3981.0,-24.3,15804.0,39463.0,23659.0,149.7,307171,270178,-36994,-12.0
manitoba,1133.0,993.0,-140.0,-12.3,1160.0,2086.0,926.0,79.8,24272,22706,-1566,-6.5
saskatchewan,1209.0,884.0,-326.0,-26.9,1131.0,2185.0,1054.0,93.1,22283,19936,-2347,-10.5
alberta,6111.0,4905.0,-1206.0,-19.7,6040.0,11308.0,5267.0,87.2,107232,95732,-11501,-10.7
columbia inggris,6578.0,6499.0,-79.0,-1.2,6793.0,13715.0,6922.0,101.9,130888,117005,-13883,-10.6
yukon,66.0,61.0,-5.0,-7.2,68.0,123.0,55.0,80.7,1202,1121,-81,-6.8
wilayah barat laut,33.0,36.0,3.0,7.8,37.0,61.0,25.0,67.0,903,852,-51,-5.6
nunavut,,,,,,,,,285,280,-5,-1.7
