kharakteristik,perkiraan revisi jutaan dolar,perkiraan sebelumnya jutaan dolar,revisi jutaan dolar,revisi%
angkutan,,,,
transportasi tahun 2012,31024.0,32617.0,-1593.0,-4.9
transportasi tahun 2013,31829.0,33568.0,-1739.0,-5.2
transportasi tahun 2014,33791.0,35587.0,-1796.0,-5.0
transportasi tahun 2015,32987.0,35105.0,-2118.0,-6.0
akomodasi,,,,
akomodasi tahun 2012,10758.0,11621.0,-863.0,-7.4
akomodasi tahun 2013,11208.0,12101.0,-893.0,-7.4
akomodasi tahun 2014,11659.0,12637.0,-978.0,-7.7
akomodasi tahun 2015,12290.0,13365.0,-1075.0,-8.0
layanan makanan dan minuman,,,,
jasa makanan dan minuman tahun 2012,12550.0,11836.0,714.0,6.0
jasa makanan dan minuman tahun 2013,13195.0,12277.0,918.0,7.5
jasa makanan dan minuman tahun 2014,13843.0,12907.0,936.0,7.3
jasa makanan dan minuman tahun 2015,14536.0,13436.0,1100.0,8.2
barang dan jasa pariwisata lainnya,,,,
barang dan jasa pariwisata lainnya tahun 2012,12752.0,12760.0,-8.0,-0.1
barang dan jasa pariwisata lainnya tahun 2013,12945.0,13126.0,-181.0,-1.4
barang dan jasa pariwisata lainnya tahun 2014,13267.0,13397.0,-130.0,-1.0
barang dan jasa pariwisata lainnya tahun 2015,13681.0,14015.0,-334.0,-2.4
total barang dan jasa pariwisata,,,,
total barang dan jasa pariwisata tahun 2012,67084.0,68834.0,-1750.0,-2.5
total barang dan jasa pariwisata tahun 2013,69177.0,71072.0,-1895.0,-2.7
total barang dan jasa pariwisata tahun 2014,72560.0,74528.0,-1968.0,-2.6
total barang dan jasa pariwisata tahun 2015,73494.0,75921.0,-2427.0,-3.2
total barang dan jasa lainnya,,,,
total barang dan jasa lainnya tahun 2012,13073.0,12915.0,158.0,1.2
total barang dan jasa lainnya tahun 2013,13410.0,13449.0,-39.0,-0.3
total barang dan jasa lainnya tahun 2014,13923.0,13975.0,-52.0,-0.4
total barang dan jasa lainnya tahun 2015,14426.0,14421.0,5.0,0.0
pengeluaran pariwisata,,,,
belanja pariwisata tahun 2012,80157.0,81749.0,-1592.0,-1.9
belanja pariwisata tahun 2013,82587.0,84521.0,-1934.0,-2.3
belanja pariwisata tahun 2014,86483.0,88503.0,-2020.0,-2.3
belanja pariwisata tahun 2015,87920.0,90342.0,-2422.0,-2.7
