kharakteristik,setahun penuh pertama setelah imigrasi,tahun kelima setelah imigrasi
persen kejadian lapangan kerja,,
persen kejadian pekerjaan pekerja terampil federal,84.1,87.7
persen insiden ketenagakerjaan calon provinsi,84.6,85.6
persen kejadian pekerjaan pekerja terampil quebec,86.4,90.7
persen kejadian pekerjaan kelas pengalaman Kanada,83.9,87.6
Penghasilan tahunan dolar konstan 2017,,
Pendapatan tahunan dolar konstan 2017 dari pekerja terampil federal,45800.0,59500.0
Nominasi provinsi pendapatan tahunan dolar konstan 2017,45100.0,50600.0
Pendapatan tahunan dolar konstan 2017 pekerja terampil quebec,41100.0,52000.0
Kelas pengalaman Kanada pendapatan tahunan dolar konstan 2017,46400.0,57800.0
