kharakteristik,nomor 2012/2013,Median lama kasus 2012/2013,nomor 2013/2014,Median lamanya kasus 2013/2014,persen perubahan jumlah kasus 2012/2013 ke 2013/2014 persen,perbedaan median lama kasus 2012/2013 dengan 2013/2014 hari
pelanggaran kekerasan,12792,161,11720,166,-8,5
pelanggaran kekerasan pembunuhan,31,448,33,611,6,163
pelanggaran kekerasan percobaan pembunuhan,21,316,20,248,-5,-68
pelanggaran kekerasan perampokan,2336,184,1904,201,-18,17
pelanggaran kekerasan penyerangan seksual,696,252,750,256,8,4
pelanggaran kekerasan pelanggaran seksual lainnya,635,232,667,240,5,8
pelanggaran kekerasan serangan besar,2715,168,2396,164,-12,-4
pelanggaran kekerasan penyerangan biasa,3878,127,3613,134,-7,7
pelanggaran kekerasan yang mengucapkan ancaman,2029,134,1867,143,-8,9
pelanggaran kekerasan pelecehan pidana,186,163,192,174,3,11
pelanggaran kekerasan kejahatan lainnya terhadap orang,265,203,278,184,5,-19
pelanggaran properti,15723,113,13370,120,-15,7
pencurian pelanggaran properti,5476,100,4658,102,-15,2
pelanggaran properti menerobos dan masuk,3606,137,3100,141,-14,4
penipuan pelanggaran properti,474,131,465,115,-2,-16
pelanggaran properti kenakalan,2948,108,2489,113,-16,5
pelanggaran properti memiliki properti curian,2779,111,2294,120,-17,9
pelanggaran properti kejahatan properti lainnya,440,138,364,155,-17,17
administrasi pelanggaran peradilan,4893,84,4290,82,-12,-2
pelanggaran administrasi peradilan gagal muncul,281,71,246,69,-12,-2
pelanggaran administrasi peradilan pelanggaran masa percobaan,128,52,117,83,-9,31
pelanggaran administrasi peradilan secara luas secara melawan hukum,306,8,258,7,-16,-1
pelanggaran administrasi peradilan gagal untuk mematuhi perintah,3230,91,2875,91,-11,0
penyelenggaraan peradilan melanggar administrasi peradilan lainnya,948,92,794,92,-16,0
pelanggaran hukum pidana lainnya,2424,148,2160,146,-11,-2
senjata tindak pidana KUHP lainnya,1555,155,1451,147,-7,-8
tindak pidana prostitusi lainnya,6,249,11,174,83,-75
tindak pidana lain yang mengganggu ketentraman,132,102,86,103,-35,1
sisa tindak pidana KUHP lainnya,731,141,612,153,-16,12
hukum pidana,35832,127,31540,130,-12,3
KUHP pelanggaran lalu lintas,828,113,646,120,-22,7
KUHP pelanggaran lalu lintas gangguan mengemudi,424,79,318,116,-25,37
KUHP pelanggaran lalu lintas KUHP lainnya,404,129,328,122,-19,-7
total pelanggaran hukum pidana,36660,126,32186,130,-12,4
pelanggaran undang-undang federal lainnya,8781,64,7715,69,-12,5
pelanggaran undang-undang federal lainnya kepemilikan narkoba,1844,92,1568,92,-15,0
pelanggaran undang-undang federal lainnya pelanggaran narkoba lainnya,718,141,662,141,-8,0
undang-undang federal lainnya melanggar tindakan peradilan pidana remaja,4542,37,3841,42,-15,5
pelanggaran undang-undang federal lainnya sisa undang-undang federal,1677,103,1644,99,-2,-4
pelanggaran total,45441,114,39901,120,-12,6
