kharakteristik,provinsi kelahiran bayi kanada ptb%,provinsi kelahiran bayi kanada 95% lci,provinsi kelahiran bayi kanada 95% uci,provinsi kelahiran bayi british columbia ptb%,provinsi kelahiran bayi british columbia 95% lci,provinsi kelahiran bayi british columbia 95% uci,provinsi kelahiran bayi alberta ptb %,provinsi kelahiran bayi alberta 95% lci,provinsi kelahiran bayi alberta 95% uci,provinsi kelahiran bayi saskatchewan ptb %,provinsi kelahiran bayi saskatchewan 95% lci,provinsi kelahiran bayi saskatchewan 95% uci,provinsi kelahiran bayi manitoba ptb %,provinsi kelahiran bayi manitoba 95% lci,provinsi kelahiran bayi manitoba 95% uci,provinsi kelahiran bayi ontario ptb%,provinsi kelahiran bayi ontario 95% lci,provinsi kelahiran bayi ontario 95% uci,provinsi kelahiran bayi quebec ptb%,provinsi kelahiran bayi quebec 95% lci,provinsi kelahiran bayi quebec 95% uci,provinsi kelahiran bayi atlantic canada ptb%,provinsi kelahiran bayi atlantic canada 95% lci,provinsi kelahiran bayi atlantic canada 95% uci
Kanada,6.16,6.13,6.18,5.9,5.83,5.97,6.81,6.75,6.88,5.99,5.89,6.09,6.99,6.88,7.1,6.01,5.97,6.04,5.96,5.91,6.0,6.22,6.14,6.3
Cina,arr,95% lci,95% uci,arr,95% lci,95% uci,arr,95% lci,95% uci,arr,95% lci,95% uci,arr,95% lci,95% uci,arr,95% lci,95% uci,arr,95% lci,95% uci,arr,95% lci,95% uci
sisa Asia Timur,0.73,0.71,0.75,0.8,0.76,0.84,0.78,0.72,0.84,0.69,0.55,0.87,0.64,0.53,0.78,0.71,0.68,0.73,0.72,0.66,0.79,0.88,0.71,1.09
India,0.8,0.77,0.83,0.79,0.75,0.84,0.83,0.75,0.92,0.9,0.63,1.29,0.71,0.52,0.96,0.83,0.78,0.87,0.88,0.74,1.06,0.63,0.42,0.96
Pakistan,1.03,1.01,1.05,1.0,0.95,1.04,1.14,1.09,1.2,0.91,0.74,1.11,1.0,0.89,1.12,1.03,1.0,1.06,1.24,1.11,1.4,1.14,0.86,1.51
bangladesh,1.02,0.99,1.05,0.88,0.75,1.02,1.13,1.05,1.22,1.12,0.93,1.35,0.94,0.72,1.23,1.0,0.96,1.04,1.21,1.08,1.36,0.77,0.48,1.23
sisa Asia Selatan,1.32,1.25,1.4,1.82,1.42,2.32,1.67,1.4,2.0,1.09,0.76,1.58,0.96,0.57,1.63,1.25,1.16,1.35,1.47,1.29,1.68,1.1,0.63,1.94
Filipina,0.96,0.93,0.99,0.89,0.81,0.99,0.89,0.8,1.0,1.23,0.86,1.76,0.8,0.6,1.07,0.99,0.96,1.03,1.07,0.97,1.17,0.64,0.4,1.01
Vietnam,1.45,1.42,1.48,1.4,1.33,1.47,1.51,1.45,1.57,1.41,1.26,1.57,1.32,1.23,1.42,1.42,1.37,1.47,1.36,1.23,1.49,1.4,1.13,1.74
sisa Asia Tenggara,1.06,1.02,1.1,1.11,1.02,1.21,1.14,1.05,1.24,0.83,0.58,1.19,1.0,0.79,1.25,1.01,0.96,1.06,1.1,0.98,1.24,1.51,0.95,2.39
