kharakteristik,provinsi kelahiran bayi kanada berarti bw,provinsi kelahiran bayi kanada 95% lci,provinsi kelahiran bayi kanada 95% uci,provinsi kelahiran bayi british columbia berarti bw,provinsi kelahiran bayi british columbia 95% lci,provinsi kelahiran bayi british columbia 95% uci,provinsi kelahiran bayi alberta berarti bw,provinsi kelahiran bayi alberta 95% lci,provinsi kelahiran bayi alberta 95% uci,provinsi kelahiran bayi saskatchewan berarti bw,provinsi kelahiran bayi saskatchewan 95% lci,provinsi kelahiran bayi saskatchewan 95% uci,provinsi kelahiran bayi manitoba berarti bw,provinsi kelahiran bayi manitoba 95% lci,provinsi kelahiran bayi manitoba 95% uci,provinsi kelahiran bayi ontario berarti bw,provinsi kelahiran bayi ontario 95% lci,provinsi kelahiran bayi ontario 95% uci,provinsi kelahiran bayi quebec berarti bw,provinsi kelahiran bayi quebec 95% lci,provinsi kelahiran bayi quebec 95% uci,provinsi kelahiran bayi atlantic canada berarti bw,provinsi kelahiran bayi atlantic canada 95% lci,provinsi kelahiran bayi atlantic canada 95% uci
Kanada,3509.0,3509.0,3510.0,3527.0,3526.0,3528.0,3488.0,3487.0,3489.0,3549.0,3547.0,3552.0,3553.0,3551.0,3556.0,3506.0,3505.0,3507.0,3490.0,3489.0,3491.0,3557.0,3555.0,3559.0
Cina,amd,95% lci,95% uci,amd,95% lci,95% uci,amd,95% lci,95% uci,amd,95% lci,95% uci,amd,95% lci,95% uci,amd,95% lci,95% uci,amd,95% lci,95% uci,amd,95% lci,95% uci
sisa Asia Timur,-133.0,-136.0,-130.0,-161.0,-167.0,-156.0,-146.0,-155.0,-136.0,-148.0,-175.0,-121.0,-182.0,-207.0,-157.0,-147.0,-151.0,-143.0,-55.0,-65.0,-45.0,-151.0,-180.0,-123.0
India,-209.0,-214.0,-205.0,-235.0,-242.0,-228.0,-212.0,-225.0,-199.0,-190.0,-239.0,-141.0,-201.0,-242.0,-161.0,-224.0,-230.0,-217.0,-157.0,-179.0,-136.0,-201.0,-249.0,-153.0
Pakistan,-206.0,-209.0,-203.0,-184.0,-190.0,-179.0,-214.0,-222.0,-206.0,-268.0,-296.0,-240.0,-256.0,-274.0,-237.0,-236.0,-240.0,-232.0,-181.0,-198.0,-164.0,-241.0,-283.0,-198.0
bangladesh,-203.0,-207.0,-198.0,-187.0,-206.0,-168.0,-216.0,-228.0,-204.0,-271.0,-300.0,-242.0,-269.0,-311.0,-227.0,-214.0,-219.0,-208.0,-123.0,-139.0,-106.0,-233.0,-293.0,-173.0
sisa Asia Selatan,-294.0,-303.0,-284.0,-308.0,-352.0,-263.0,-316.0,-350.0,-282.0,-372.0,-428.0,-316.0,-366.0,-455.0,-278.0,-306.0,-318.0,-294.0,-228.0,-248.0,-208.0,-314.0,-402.0,-225.0
Filipina,-136.0,-140.0,-132.0,-127.0,-140.0,-114.0,-141.0,-157.0,-126.0,-135.0,-191.0,-79.0,-205.0,-247.0,-164.0,-154.0,-159.0,-150.0,-67.0,-79.0,-54.0,-221.0,-273.0,-169.0
Vietnam,-202.0,-206.0,-199.0,-212.0,-220.0,-204.0,-203.0,-210.0,-195.0,-249.0,-269.0,-230.0,-255.0,-268.0,-242.0,-211.0,-216.0,-205.0,-147.0,-162.0,-133.0,-192.0,-229.0,-155.0
sisa Asia Tenggara,-225.0,-230.0,-219.0,-248.0,-260.0,-237.0,-245.0,-258.0,-232.0,-323.0,-369.0,-277.0,-268.0,-304.0,-232.0,-228.0,-236.0,-221.0,-165.0,-181.0,-149.0,-219.0,-295.0,-144.0
asia barat dan tengah,-178.0,-185.0,-170.0,-179.0,-194.0,-163.0,-197.0,-216.0,-178.0,-152.0,-208.0,-97.0,-220.0,-264.0,-176.0,-189.0,-201.0,-178.0,-156.0,-176.0,-135.0,-140.0,-213.0,-68.0
