kharakteristik,"total nomor grup ""bac+"".",kredensial jangka pendek dalam nomor provinsi yang sama,kredensial jangka pendek di nomor provinsi yang berbeda,persentase persentase provinsi yang sama
newfoundland dan labrador,50,25,25,50.0
pulau pangeran Edward,25,15,10,
Nova Scotia,275,160,115,58.2
brunswick baru,115,50,65,43.5
Quebec,965,950,15,98.4
ontario,2650,2510,140,94.7
manitoba,105,80,25,76.2
saskatchewan,80,60,20,75.0
alberta,315,250,65,79.4
columbia inggris,790,745,45,94.3
total,5370,4845,525,90.2
