kharakteristik,dispersi pendapatan p90-p10 kolom 1,dispersi pendapatan p90-p50 kolom 2,dispersi pendapatan p50-p10 kolom 3,kolom varians dispersi laba 4,dispersi pendapatan p90-p10 kolom 5,dispersi pendapatan p90-p50 kolom 6,dispersi pendapatan p50-p10 kolom 7,kolom varians dispersi laba 8
lp,,,,,,,,
koefisien lp,0.116,,,,,,,
kesalahan standar lp,0.009,,,,,,,
lp,,,,,,,,
koefisien lp,,0.088,,,,,,
kesalahan standar lp,,0.011,,,,,,
lp,,,,,,,,
koefisien lp,,,0.143,,,,,
kesalahan standar lp,,,0.035,,,,,
perbedaan,,,,,,,,
koefisien varians,,,,0.107,,,,
kesalahan standar varians,,,,0.014,,,,
mfp,,,,,,,,
koefisien mfp,,,,,0.035,,,
kesalahan standar mfp,,,,,0.042,,,
mfp,,,,,,,,
koefisien mfp,,,,,,-0.044,,
kesalahan standar mfp,,,,,,0.029,,
mfp,,,,,,,,
koefisien mfp,,,,,,,0.166,
kesalahan standar mfp,,,,,,,0.1,
perbedaan,,,,,,,,
koefisien varians,,,,,,,,0.041
kesalahan standar varians,,,,,,,,0.026
efek tetap tahun,yes,yes,yes,yes,yes,yes,yes,yes
efek tetap sektor,yes,yes,yes,yes,yes,yes,yes,yes
sejumlah observasi,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0
r-kuadrat,0.954,0.913,0.912,0.955,0.945,0.907,0.896,0.952
