kharakteristik,nomor 2009,tarif tahun 2009,nomor 2010,tarif tahun 2010,nomor 2011,tarif tahun 2011,nomor 2012,tarif tahun 2012,nomor 2013,tarif tahun 2013,nomor 2014,tarif tahun 2014,Jumlah keseluruhan tahun 2009 hingga 2014,Tarif rata-rata 2009 hingga 2014
newfoundland dan labrador,361.0,69.9,368.0,70.5,324.0,61.7,375.0,71.2,311.0,58.9,303.0,57.3,2042.0,64.9
pulau pangeran Edward,64.0,45.7,61.0,43.1,74.0,51.4,74.0,50.9,85.0,58.4,59.0,40.4,417.0,48.3
Nova Scotia,695.0,74.1,681.0,72.3,700.0,74.1,673.0,71.2,650.0,68.9,615.0,65.3,4014.0,71.0
brunswick baru,572.0,76.3,591.0,78.5,553.0,73.2,490.0,64.7,462.0,61.1,434.0,57.5,3102.0,68.5
Quebec,4279.0,54.6,4301.0,54.2,3804.0,47.5,3999.0,49.5,3895.0,47.8,3647.0,44.4,23925.0,49.6
ontario,7145.0,55.0,7741.0,58.9,7839.0,59.1,7921.0,59.1,7663.0,56.5,7512.0,54.9,45821.0,57.3
manitoba,1272.0,105.2,1446.0,118.4,1461.0,118.4,1460.0,116.8,1402.0,110.8,1433.0,111.9,8474.0,113.6
saskatchewan,1182.0,114.2,1151.0,109.5,1154.0,108.2,1047.0,96.3,1064.0,96.2,1117.0,99.5,6715.0,103.8
alberta,2248.0,61.1,2707.0,72.5,2791.0,73.6,2855.0,73.4,2787.0,69.5,2814.0,68.3,16202.0,69.8
columbia inggris,2630.0,59.6,2874.0,64.4,2718.0,60.4,2542.0,56.0,2437.0,53.2,2276.0,49.1,15477.0,57.0
yukon,74.0,219.4,67.0,193.7,64.0,180.8,77.0,212.8,76.0,208.6,79.0,213.6,437.0,204.8
wilayah barat laut,187.0,433.4,187.0,432.1,183.0,420.7,174.0,398.6,176.0,401.1,150.0,341.1,1057.0,404.3
nunavut,212.0,650.3,201.0,602.6,195.0,570.2,183.0,526.9,188.0,530.5,192.0,532.1,1171.0,567.4
Kanada,20921.0,62.2,22376.0,65.8,21860.0,63.7,21870.0,62.9,21196.0,60.3,20631.0,58.0,128854.0,62.1
