kharakteristik,nomor yang berhubungan dengan geng,persen terkait geng,nomor terkait senjata api,persen terkait senjata api,total jumlah pembunuhan yang dilaporkan
st. milik John,0,0.0,1,50.0,2
halifax,0,0.0,2,28.6,8
monton,0,0.0,0,0.0,2
santo john,0,0.0,1,33.3,3
saguenay,0,0.0,0,0.0,1
Quebec,0,0.0,0,0.0,2
sherbrooke,0,0.0,0,0.0,1
trois-rivieres,0,0.0,0,0.0,2
montreal,20,42.6,20,42.6,47
gatineau,0,0.0,1,100.0,1
Ottawa,2,28.6,3,42.9,7
kingston,0,0.0,1,33.3,3
peterborough,0,0.0,0,0.0,1
oshawa,0,0.0,0,0.0,2
toronto,12,16.7,27,33.3,82
hamilton,2,28.6,3,42.9,7
st. catharines-niagara,0,0.0,0,0.0,7
tukang dapur-cambridge-waterloo,1,16.7,2,33.3,6
Brantford,0,,0,,0
guelph,0,0.0,1,50.0,2
London,2,28.6,3,42.9,8
Windsor,0,0.0,2,33.3,6
barrie,0,0.0,0,0.0,3
sudbury yang lebih besar,0,0.0,0,0.0,2
teluk guntur,0,0.0,0,0.0,3
winnipeg,3,13.6,5,22.7,22
regina,2,25.0,2,25.0,8
saskatoon,2,20.0,4,40.0,10
calgary,12,31.6,16,44.4,39
edmonton,6,17.1,15,44.1,39
kelowna,0,0.0,0,0.0,3
misi Abbotsford,1,33.3,1,33.3,3
vancouver,13,27.7,15,32.6,47
Victoria,0,0.0,0,0.0,8
jumlah cma,78,21.1,125,33.7,387
total non-cma,20,9.5,53,25.6,217
Kanada,98,16.9,178,30.8,604
