kharakteristik,laki-laki,wanita
persen Kanada,,
persen Kanada Newfoundland-dan-Labrador,29.7,35.1
persen pulau pangeran-edward kanada,18.5,20.9
persen Kanada Nova Scotia,8.6,19.4
persen Kanada New Brunswick,1.9,19.8
persen Kanada Quebec,7.9,14.3
persen Kanada Ontario,1.7,1.9
persen kanada manitoba,9.8,21.9
persen Kanada Saskatchewan,23.4,28.5
persen Kanada Alberta,26.1,28.8
"persen Kanada, British Columbia",-1.2,2.5
persen Kanada semua provinsi,4.2,9.3
persen Amerika Serikat,,
persen Amerika Serikat New England,-4.7,-4.3
persen Atlantik Tengah Amerika Serikat,-8.2,-3.6
persen amerika serikat timur utara tengah,-9.7,-3.1
persen amerika serikat barat utara tengah,-7.2,1.5
persen Amerika Serikat Atlantik Selatan,-5.1,-1.7
persen Amerika Serikat bagian tengah selatan,-1.7,3.6
persen gunung Amerika Serikat,-4.8,3.4
persen Amerika Serikat Pasifik,-6.4,-3.8
persen Amerika Serikat di semua wilayah,-5.5,1.1
