kharakteristik,jumlah penduduk tahun 2018,nomor petugas polisi 2019 nomor polisi,petugas polisi 2019 petugas polisi per 100.000 penduduk,persentase petugas polisi berubah dari persen tahun sebelumnya,petugas polisi 2019 persentase petugas wanita persen,nomor perekrutan,nomor keberangkatan,keuntungan atau kerugian bersih: jumlah perekrutan dan keberangkatan,petugas polisi memenuhi syarat untuk pensiun persen
"layanan polisi toronto, ont",2956024,4790.0,162.0,-3.0,19.0,214.0,294.0,-80.0,9.0
"layanan polisi montreal, que",2029374,4295.0,212.0,-5.0,33.0,139.0,172.0,-33.0,13.0
"kupas layanan polisi daerah, ont",1404628,2022.0,144.0,1.0,19.0,116.0,74.0,42.0,3.0
"layanan polisi calgary, alta",1311833,2123.0,162.0,6.0,27.0,68.0,64.0,4.0,0.0
"polisi daerah york, ont",1150672,1543.0,134.0,3.0,20.0,131.0,75.0,56.0,5.0
"layanan polisi ottawa, ont",1007501,1223.0,121.0,-1.0,22.0,71.0,47.0,24.0,6.0
"layanan polisi edmonton, alta",1004947,1885.0,188.0,0.0,20.0,91.0,70.0,21.0,7.0
"layanan polisi winnipeg, kawan",753674,1405.0,186.0,2.0,16.0,22.0,41.0,-19.0,8.0
"layanan polisi daerah Durham, ont",683604,904.0,132.0,3.0,20.0,61.0,41.0,20.0,7.0
"departemen kepolisian vancouver, b.c",678308,1330.0,196.0,-1.0,26.0,37.0,48.0,-11.0,9.0
"layanan polisi daerah halton, ont",580014,714.0,123.0,5.0,22.0,50.0,34.0,16.0,6.0
"layanan polisi daerah waterloo, ont",579145,757.0,131.0,-1.0,22.0,31.0,37.0,-6.0,8.0
"layanan polisi kota quebec, que",578781,719.0,124.0,-1.0,27.0,34.0,24.0,10.0,3.0
"Surrey, SM",568158,798.0,140.0,2.0,21.0,69.0,23.0,46.0,6.0
"layanan polisi hamilton, ont",567979,,,,,,,,
"layanan polisi daerah niagara, ont",472448,720.0,152.0,2.0,17.0,38.0,21.0,17.0,7.0
"layanan polisi laval, que",432858,586.0,135.0,1.0,31.0,0.0,24.0,-24.0,9.0
"layanan polisi longueuil, que",421842,611.0,145.0,0.0,35.0,20.0,35.0,-15.0,6.0
"layanan polisi london, ont",414959,590.0,142.0,-3.0,22.0,19.0,26.0,-7.0,7.0
"layanan polisi gatineau, que",282596,393.0,139.0,-1.0,23.0,44.0,8.0,36.0,3.0
"layanan polisi saskatoon, sask",268188,465.0,173.0,0.0,23.0,5.0,8.0,-3.0,8.0
"polisi daerah halifax, n.s",253841,530.0,209.0,-1.0,20.0,15.0,13.0,2.0,11.0
"burnaby, b.c",248071,292.0,118.0,1.0,22.0,27.0,4.0,23.0,9.0
"layanan polisi regina, sask",233170,397.0,170.0,-1.0,24.0,7.0,12.0,-5.0,3.0
"layanan polisi Windsor, ont",229787,471.0,205.0,11.0,17.0,55.0,24.0,31.0,8.0
"richmond, b.c",209838,245.0,117.0,7.0,21.0,34.0,2.0,32.0,7.0
"layanan polisi richelieu-saint-laurent, que",209246,214.0,102.0,2.0,26.0,44.0,46.0,-2.0,6.0
"st. John's, n.l",208289,335.0,161.0,3.0,30.0,43.0,15.0,28.0,16.0
"layanan polisi Sudbury yang lebih besar, ont",168141,261.0,155.0,0.0,18.0,10.0,4.0,6.0,7.0
"layanan polisi sherbrooke, que",166863,209.0,125.0,3.0,24.0,18.0,8.0,10.0,8.0
"kotapraja langley, b.c",156931,208.0,133.0,2.0,26.0,18.0,5.0,13.0,10.0
"departemen kepolisian Abbotsford, b.c",153866,214.0,139.0,3.0,19.0,20.0,9.0,11.0,5.0
"coquitlam, b.c",149450,171.0,114.0,4.0,27.0,17.0,7.0,10.0,9.0
"layanan polisi saguenay, que",148053,187.0,126.0,0.0,22.0,0.0,6.0,-6.0,7.0
"layanan polisi barrie, ont",147685,240.0,163.0,3.0,18.0,8.0,11.0,-3.0,3.0
"layanan polisi levis, que",146080,155.0,106.0,0.0,24.0,6.0,6.0,0.0,12.0
"layanan polisi guelph, ont",140683,201.0,143.0,2.0,21.0,11.0,8.0,3.0,11.0
"layanan polisi terrebonne, que",140301,171.0,122.0,1.0,29.0,17.0,17.0,0.0,1.0
"kelowna, b.c",138513,196.0,142.0,2.0,26.0,9.0,4.0,5.0,10.0
"layanan polisi trois-rivieres, que",136857,161.0,118.0,3.0,22.0,10.0,6.0,4.0,2.0
"layanan polisi kingston, ont",132943,205.0,154.0,0.0,20.0,8.0,10.0,-2.0,13.0
"kode regional, n.b",122988,143.0,116.0,0.0,19.0,7.0,8.0,-1.0,20.0
"departemen kepolisian saanich, b.c",121032,151.0,125.0,-4.0,21.0,5.0,8.0,-3.0,5.0
"layanan polisi thunder bay, ont",118253,242.0,205.0,8.0,16.0,5.0,13.0,-8.0,7.0
"departemen kepolisian victoria, b.c",110916,238.0,214.0,-1.0,25.0,14.0,15.0,-1.0,10.0
"dinas kepolisian daerah roussillon, que",110144,115.0,104.0,0.0,28.0,12.0,17.0,-5.0,6.0
"departemen kepolisian delta, b.c",109674,159.0,145.0,-1.0,21.0,15.0,6.0,9.0,16.0
"layanan polisi chatham-kent, ont",105445,164.0,156.0,1.0,16.0,9.0,11.0,-2.0,9.0
"layanan polisi Brantford, ont",104978,187.0,178.0,5.0,14.0,13.0,8.0,5.0,1.0
"rusa merah, alta",104493,173.0,166.0,-3.0,24.0,3.0,2.0,1.0,6.0
