kharakteristik,jumlah total perekrutan,perekrutan petugas polisi berpengalaman persen,perekrutan merekrut persen,jumlah total keberangkatan,keberangkatan pensiun persen,keberangkatan persen lainnya,keuntungan atau kerugian bersih: jumlah perekrutan dan keberangkatan,petugas polisi memenuhi syarat untuk pensiun persen
newfoundland dan labrador,69,59.0,41.0,34,53,47,35,15
pulau pangeran Edward,7,100.0,0.0,13,38,62,-6,17
Nova Scotia,62,100.0,0.0,73,58,42,-11,15
brunswick baru,70,97.0,3.0,72,49,51,-2,17
Quebec,893,45.0,55.0,787,65,35,106,13
ontario,1340,24.0,76.0,1202,68,32,138,8
manitoba,126,79.0,21.0,88,67,33,38,9
saskatchewan,162,91.0,9.0,82,40,60,80,9
alberta,382,67.0,33.0,271,42,58,111,6
columbia inggris,498,79.0,21.0,379,52,48,119,12
yukon,0,,,2,50,50,-2,18
wilayah barat laut,11,100.0,0.0,5,60,40,6,12
nunavut,4,100.0,0.0,7,43,57,-3,10
total provinsi dan teritorial,3624,50.0,50.0,3015,61,39,609,10
"operasi polisi dan markas besar perusahaan yang dipasang di kerajaan Kanada total provinsi dan teritorial, divisi depot akademi pelatihan dan laboratorium forensik",1,100.0,0.0,61,54,46,-60,41
Kanada,3625,50.0,50.0,3076,61,39,549,11
