kharakteristik,nilai penilaian rata-rata pemilik pendatang,nilai penilaian rata-rata pemilik kelahiran Kanada,perbedaan nilai penilaian rata-rata,nilai penilaian median pemilik pendatang,nilai penilaian median pemilik kelahiran Kanada,perbedaan nilai median penilaian
dolar vancouver 2017,,,,,,
dolar vancouver 2017 semua jenis properti,1110500.0,1073000.0,37500.0,810200.0,851000.0,-40800.0
Single vancouver dolar 2017 terpisah,1767500.0,1512400.0,255100.0,1373000.0,1254100.0,118900.0
dolar vancouver 2017 semi-terpisah,1143800.0,1270200.0,-126400.0,1139000.0,1205000.0,-66000.0
Rumah petak vancouver dolar 2017,716300.0,706900.0,9400.0,648000.0,617000.0,31000.0
Kondominium vancouver dolar 2017,639500.0,619700.0,19800.0,543000.0,515000.0,28000.0
toronto dolar 2016,,,,,,
toronto dolar 2016 semua jenis properti,644700.0,715000.0,-70300.0,576000.0,618000.0,-42000.0
toronto dolar 2016 tunggal terpisah,829800.0,849300.0,-19500.0,729000.0,724000.0,5000.0
toronto dolar 2016 semi-terpisah,568600.0,656800.0,-88200.0,541000.0,587000.0,-46000.0
Rumah petak toronto dolar 2016,487300.0,520600.0,-33300.0,459000.0,463000.0,-4000.0
Kondominium toronto dolar 2016,368000.0,420400.0,-52400.0,333000.0,359000.0,-26000.0
