kharakteristik,total populasi perempuan identitas penduduk asli,sebagai % dari total populasi perempuan,populasi perempuan negara pertama,sebagai % dari total populasi perempuan,populasi perempuan metis,sebagai % dari total populasi perempuan
sensus wilayah metropolitan,,,,,,
sensus wilayah metropolitan winnipeg,40935.0,11.2,16695.0,4.6,23340.0,6.4
sensus wilayah metropolitan edmonton,31830.0,5.6,14585.0,2.6,15700.0,2.8
sensus wilayah metropolitan vancouver,27305.0,2.3,16490.0,1.4,9705.0,0.8
sensus wilayah metropolitan toronto,19645.0,0.7,12650.0,0.4,5395.0,0.2
sensus wilayah metropolitan calgary,17015.0,2.8,7645.0,1.3,8440.0,1.4
sensus wilayah metropolitan ottawa-gatineau,15985.0,2.6,8595.0,1.4,6175.0,1.0
sensus wilayah metropolitan montreal,13945.0,0.7,7955.0,0.4,4495.0,0.2
sensus wilayah metropolitan saskatoon,12860.0,9.9,6460.0,5.0,6075.0,4.7
sensus wilayah metropolitan regina,10635.0,10.1,6015.0,5.7,4370.0,4.1
sensus wilayah metropolitan victoria,7550.0,4.3,4660.0,2.7,2580.0,1.5
aglomerasi sensus,,,,,,
aglomerasi sensus pangeran albert,8355.0,39.4,4030.0,19.0,4255.0,20.1
aglomerasi sensus pangeran george,5285.0,12.8,3105.0,7.5,2070.0,5.0
aglomerasi sensus chilliwack,4325.0,9.4,2850.0,6.2,1335.0,2.9
aglomerasi sensus sault ste. marie,4290.0,10.6,2710.0,6.7,1470.0,3.6
kamloops aglomerasi sensus,4070.0,8.3,2370.0,4.8,1540.0,3.1
kerbau kayu aglomerasi sensus,3635.0,11.9,2140.0,7.0,1290.0,4.2
aglomerasi sensus nanaimo,3570.0,7.3,2335.0,4.8,1105.0,2.3
sensus aglomerasi grande padang rumput,2925.0,11.0,1100.0,4.1,1715.0,6.5
aglomerasi sensus pangeran rupert,2680.0,41.0,2445.0,37.4,150.0,2.3
aglomerasi sensus Thompson,2305.0,37.4,1650.0,26.8,630.0,10.2
