kharakteristik,jumlah populasi,indeks indeks keparahan kejahatan total,persentase perubahan indeks keparahan kejahatan total 2017 ke 2018,persentase perubahan indeks keparahan kejahatan total 2008 hingga 2018,indeks indeks keparahan kejahatan kekerasan,persen perubahan indeks keparahan kejahatan kekerasan tahun 2017 ke tahun 2018,indeks indeks keparahan kejahatan tanpa kekerasan,persentase perubahan indeks keparahan kejahatan tanpa kekerasan dari tahun 2017 ke tahun 2018
st. milik John,208289,75,12,-12.0,83,-1,72,19
halifax,430505,67,2,-30.0,96,8,57,-1
monton,161122,100,15,,89,21,103,14
santo john,129790,54,-4,,69,-6,49,-3
saguenay,168743,49,-12,-29.0,63,7,43,-19
Quebec,808905,45,-7,-29.0,55,-14,41,-4
sherbrooke,202593,52,-2,-33.0,65,10,47,-6
trois-rivieres,157208,54,2,-29.0,69,21,49,-6
montreal,4239709,58,-1,-36.0,72,-3,53,0
gatineau,333108,56,-2,-25.0,73,6,50,-5
ottawa,1068569,54,7,-20.0,68,5,50,8
kingston,171043,67,8,-1.0,66,5,68,10
belleville,111584,61,-20,,69,-42,58,-5
peterborough,128932,48,-10,-28.0,52,-25,47,-2
toronto,6274077,54,8,-20.0,78,7,45,8
hamilton,770987,57,-3,-26.0,66,-13,54,1
st. catharines-niagara,472448,69,15,-14.0,53,16,75,15
tukang dapur-cambridge-waterloo,579145,74,6,7.0,79,9,72,5
Brantford,148603,93,6,-11.0,99,3,90,6
guelph,140683,67,1,16.0,61,2,69,1
London,534936,76,7,-10.0,63,1,81,9
Windsor,349787,85,21,13.0,74,17,89,23
barrie,228602,50,12,-20.0,53,-2,49,18
sudbury yang lebih besar,168141,80,5,8.0,88,15,76,2
teluk guntur,125373,94,9,-12.0,160,12,71,7
winnipeg,816741,119,10,-5.0,161,4,104,14
regina,258386,127,10,-23.0,120,8,129,11
saskatoon,328181,118,0,-15.0,109,-2,121,1
jembatan leth,123335,137,10,,100,14,150,9
calgary,1498941,88,5,4.0,78,3,92,6
edmonton,1425627,115,1,-6.0,107,-1,117,2
kelowna,210961,101,6,-20.0,48,-19,119,10
misi Abbotsford,195726,90,2,-37.0,81,-6,93,5
vancouver,2650798,84,-3,-30.0,68,-3,90,-3
Victoria,395651,64,5,-38.0,60,-4,65,9
Kanada,37058856,75,2,-17.0,82,1,72,2
