kharakteristik,nomor pembunuhan,tingkat pembunuhan,tingkat kekerasan seksual,perubahan persentase kekerasan seksual pada tahun 2017 hingga 2018,tingkat perampokan,persen perampokan perubahan tarif 2017 ke 2018,tingkat pelanggaran dan masuk,melanggar dan memasukkan persen perubahan tarif 2017 ke 2018,tingkat pencurian kendaraan bermotor,persen perubahan angka pencurian kendaraan bermotor tahun 2017 ke tahun 2018
st. milik John,1.0,0.48,66.0,-1.0,78.0,23.0,415.0,9.0,119.0,1.0
halifax,7.0,1.63,163.0,67.0,55.0,1.0,239.0,-11.0,75.0,-5.0
monton,2.0,1.24,68.0,22.0,50.0,27.0,677.0,-1.0,258.0,16.0
santo john,1.0,0.77,86.0,-9.0,47.0,-8.0,247.0,-3.0,75.0,7.0
saguenay,1.0,0.59,74.0,25.0,18.0,-14.0,269.0,-21.0,116.0,-24.0
Quebec,3.0,0.37,57.0,4.0,18.0,-22.0,249.0,-13.0,68.0,5.0
sherbrooke,4.0,1.97,75.0,7.0,30.0,44.0,267.0,-17.0,54.0,-19.0
trois-rivieres,2.0,1.27,83.0,55.0,26.0,32.0,371.0,4.0,129.0,10.0
montreal,47.0,1.11,64.0,9.0,59.0,-16.0,306.0,-17.0,171.0,-8.0
gatineau,4.0,1.2,59.0,4.0,31.0,2.0,261.0,-8.0,83.0,28.0
ottawa,17.0,1.59,78.0,24.0,60.0,3.0,271.0,10.0,92.0,-1.0
kingston,2.0,1.17,126.0,26.0,25.0,11.0,431.0,27.0,102.0,23.0
belleville,1.0,0.9,97.0,-9.0,36.0,31.0,285.0,0.0,102.0,10.0
peterborough,1.0,0.78,88.0,-11.0,19.0,-54.0,223.0,-21.0,71.0,-9.0
toronto,142.0,2.26,60.0,18.0,85.0,-7.0,228.0,4.0,159.0,22.0
hamilton,9.0,1.17,85.0,15.0,69.0,-23.0,334.0,2.0,288.0,5.0
st. catharines-niagara,2.0,0.42,76.0,30.0,38.0,10.0,447.0,12.0,178.0,7.0
tukang dapur-cambridge-waterloo,7.0,1.21,85.0,15.0,52.0,-15.0,474.0,12.0,175.0,4.0
Brantford,5.0,3.36,100.0,-6.0,56.0,-13.0,620.0,6.0,546.0,25.0
guelph,1.0,0.71,95.0,4.0,31.0,1.0,535.0,13.0,143.0,14.0
London,6.0,1.12,82.0,21.0,51.0,-5.0,456.0,12.0,302.0,5.0
Windsor,10.0,2.86,66.0,8.0,59.0,-21.0,664.0,29.0,298.0,33.0
barrie,0.0,0.0,66.0,22.0,44.0,18.0,241.0,23.0,100.0,49.0
sudbury yang lebih besar,1.0,0.59,130.0,67.0,54.0,7.0,638.0,12.0,166.0,22.0
teluk guntur,8.0,6.38,108.0,12.0,156.0,23.0,484.0,18.0,202.0,30.0
winnipeg,22.0,2.69,99.0,2.0,290.0,11.0,780.0,16.0,370.0,20.0
regina,8.0,3.1,84.0,8.0,106.0,26.0,876.0,23.0,667.0,51.0
saskatoon,8.0,2.44,102.0,7.0,108.0,-20.0,867.0,3.0,360.0,-9.0
jembatan leth,0.0,0.0,113.0,113.0,51.0,-23.0,754.0,7.0,332.0,-24.0
calgary,20.0,1.33,71.0,18.0,88.0,13.0,708.0,6.0,540.0,0.0
edmonton,37.0,2.6,86.0,6.0,108.0,3.0,675.0,5.0,463.0,-8.0
kelowna,2.0,0.95,33.0,-2.0,27.0,-10.0,692.0,21.0,386.0,11.0
misi Abbotsford,6.0,3.07,64.0,21.0,48.0,12.0,598.0,15.0,410.0,-11.0
vancouver,44.0,1.66,52.0,7.0,60.0,-8.0,526.0,-8.0,236.0,-24.0
Victoria,2.0,0.51,71.0,-7.0,33.0,15.0,294.0,4.0,115.0,-5.0
Kanada,651.0,1.76,78.0,15.0,61.0,-3.0,431.0,-1.0,232.0,0.0
