kharakteristik,nomor 2018 terkait senjata api,terkait senjata api 2018 persen,tingkat terkait senjata api tahun 2018,jumlah total pembunuhan tahun 2018 terkait senjata api,nomor 2017r terkait senjata api,terkait senjata api 2017r persen,tingkat 2017r terkait senjata api,jumlah total pembunuhan tahun 2017 yang terkait dengan senjata api
newfoundland dan labrador,1,50.0,0.19,2,0,0.0,0.0,4
pulau pangeran Edward,0,,0.0,0,0,0.0,0.0,2
Nova Scotia,4,36.4,0.42,11,8,40.0,0.84,21
brunswick baru,5,38.5,0.65,13,5,55.6,0.65,10
Quebec,30,36.1,0.36,83,35,39.3,0.42,93
ontario,120,48.4,0.84,266,84,43.8,0.6,197
manitoba,6,11.3,0.44,55,13,28.3,0.97,47
saskatchewan,12,37.5,1.03,34,10,26.3,0.87,38
alberta,31,39.2,0.72,81,51,44.7,1.2,119
columbia inggris,40,51.3,0.8,89,58,53.7,1.18,119
yukon,0,0.0,0.0,3,2,33.3,5.05,8
wilayah barat laut,0,0.0,0.0,6,0,0.0,0.0,2
nunavut,0,0.0,0.0,8,1,16.7,2.66,6
Kanada,249,40.5,0.67,651,267,42.2,0.73,666
