kharakteristik,jumlah penduduk tahun 2016,jumlah korban tahun 2016,tarif tahun 2016,jumlah korban tahun 2015,tarif 2015r,selisih dengan jumlah korban pada tahun 2015,perbedaan dari perubahan tarif tahun 2015 persen,rata-rata jumlah korban tahun 2006 hingga 2015,tingkat rata-rata tahun 2006 hingga 2015
teluk guntur,120520,8,6.64,3,2.48,5.0,167.7,4,3.53
edmonton,1387281,47,3.39,38,2.8,9.0,20.9,37,3.03
regina,247634,8,3.23,9,3.72,-1.0,-13.1,7,3.35
misi Abbotsford,186274,6,3.22,3,1.63,3.0,97.3,4,2.31
winnipeg,795643,25,3.14,22,2.72,3.0,15.6,29,3.69
saskatoon,320527,10,3.12,10,3.21,0.0,-2.8,7,2.67
halifax,426083,12,2.82,8,1.91,4.0,47.1,9,2.32
Brantford,146557,4,2.73,0,0.0,4.0,,1,0.78
kelowna,196940,5,2.54,4,2.06,1.0,23.0,3,1.82
Ottawa,1013615,24,2.37,7,0.7,17.0,237.2,11,1.11
santo john,127930,3,2.35,3,2.35,0.0,-0.4,2,1.55
calgary,1474624,33,2.24,40,2.78,-7.0,-19.4,27,2.1
st. milik John,207695,4,1.93,2,0.97,2.0,98.2,2,0.77
peterborough,123555,2,1.62,1,0.81,1.0,98.9,1,0.99
vancouver,2551096,41,1.61,47,1.87,-6.0,-14.2,48,2.03
hamilton,760381,12,1.58,7,0.93,5.0,69.2,9,1.24
toronto,6184845,96,1.55,82,1.35,14.0,14.7,89,1.57
London,515409,8,1.55,8,1.57,0.0,-1.3,6,1.3
saguenay,167054,2,1.2,1,0.6,1.0,100.4,1,0.7
tukang dapur-cambridge-waterloo,548936,6,1.09,6,1.11,0.0,-1.2,5,0.96
montreal,4102619,42,1.02,47,1.16,-5.0,-11.6,48,1.25
sherbrooke,199344,2,1.0,1,0.51,1.0,97.9,1,0.42
oshawa,429978,4,0.93,2,0.46,2.0,100.1,3,0.75
barrie,216661,2,0.92,3,1.4,-1.0,-34.3,2,1.04
gatineau,331114,3,0.91,1,0.31,2.0,196.5,4,1.29
Windsor,334859,3,0.9,6,1.81,-3.0,-50.4,4,1.09
guelph,132350,1,0.76,2,1.53,-1.0,-50.6,1,0.88
monton,157321,1,0.64,2,1.28,-1.0,-50.5,1,0.93
Victoria,371057,1,0.27,8,2.18,-7.0,-87.7,4,1.22
st. catharines-niagara,453817,1,0.22,7,1.55,-6.0,-85.8,5,1.01
Quebec,800570,1,0.12,2,0.25,-1.0,-50.4,4,0.55
trois-rivieres,156649,0,0.0,2,1.28,-2.0,-100.0,2,1.12
kingston,167773,0,0.0,3,1.81,-3.0,-100.0,2,0.93
sudbury yang lebih besar,165154,0,0.0,2,1.21,-2.0,-100.0,2,1.27
jumlah cma,25521865,417,1.63,389,1.55,28.0,5.6,385,1.62
total non-cma,10764560,194,1.8,220,2.06,-26.0,-12.4,193,1.84
Kanada,36286425,611,1.68,609,1.7,2.0,-0.9,578,1.69
