kharakteristik,nomor pistol,tingkat pistol,nomor senapan atau senapan,kecepatan senapan atau senapan,nomor senapan atau senapan yang digergaji,kecepatan senapan atau senapan yang digergaji,nomor jenis senjata api lainnya,tingkat jenis senjata api lainnya,jumlah total pembunuhan terkait senjata api,total tingkat pembunuhan terkait senjata api
1996,108.0,0.36,81.0,0.27,16.0,0.05,8.0,0.03,213.0,0.72
1997,100.0,0.33,77.0,0.26,10.0,0.03,7.0,0.02,194.0,0.65
1998,71.0,0.24,51.0,0.17,14.0,0.05,16.0,0.05,152.0,0.5
1999,90.0,0.3,58.0,0.19,6.0,0.02,12.0,0.04,166.0,0.55
2000,108.0,0.35,57.0,0.19,10.0,0.03,8.0,0.03,183.0,0.6
2001,111.0,0.36,46.0,0.15,7.0,0.02,8.0,0.03,172.0,0.55
2002,98.0,0.31,40.0,0.13,6.0,0.02,8.0,0.03,152.0,0.48
2003,111.0,0.35,33.0,0.1,13.0,0.04,6.0,0.02,163.0,0.52
2004,112.0,0.35,37.0,0.12,15.0,0.05,9.0,0.03,173.0,0.54
2005,131.0,0.41,59.0,0.18,11.0,0.03,23.0,0.07,224.0,0.69
2006,112.0,0.34,38.0,0.12,26.0,0.08,16.0,0.05,192.0,0.59
2007,125.0,0.38,32.0,0.1,18.0,0.05,13.0,0.04,188.0,0.57
2008,127.0,0.38,35.0,0.11,17.0,0.05,22.0,0.07,201.0,0.6
2009,111.0,0.33,32.0,0.1,15.0,0.04,24.0,0.07,182.0,0.54
2010,104.0,0.31,37.0,0.11,14.0,0.04,20.0,0.06,175.0,0.51
2011,95.0,0.28,30.0,0.09,16.0,0.05,18.0,0.05,159.0,0.46
2012,106.0,0.31,39.0,0.11,9.0,0.03,17.0,0.05,171.0,0.49
2013,90.0,0.26,30.0,0.09,8.0,0.02,6.0,0.02,134.0,0.38
2014,103.0,0.29,34.0,0.1,6.0,0.02,12.0,0.03,155.0,0.44
2015,102.0,0.28,37.0,0.1,23.0,0.06,17.0,0.05,179.0,0.5
2016,130.0,0.36,50.0,0.14,13.0,0.04,30.0,0.08,223.0,0.61
