kharakteristik,nomor pembunuhan,tingkat pembunuhan,perubahan persentase pembunuhan pada tahun 2016 hingga 2017,nomor percobaan pembunuhan,tingkat percobaan pembunuhan,persen perubahan angka percobaan pembunuhan tahun 2016 ke tahun 2017,nomor serangan besar,tingkat serangan besar,perubahan persentase serangan besar pada tahun 2016 hingga 2017,nomor perampokan,tingkat perampokan,persen perampokan perubahan tarif 2016 ke 2017
newfoundland dan labrador,4,0.76,,5,0.95,-37.0,645,122,6,185,35,-17
pulau pangeran Edward,0,0.0,,2,1.32,,126,83,20,17,11,-7
Nova Scotia,21,2.2,61.0,27,2.83,-4.0,1154,121,1,311,33,14
brunswick baru,10,1.32,-9.0,7,0.92,0.0,949,125,-3,212,28,-8
Quebec,93,1.11,38.0,238,2.84,25.0,10476,125,0,3642,43,-3
ontario,196,1.38,-6.0,286,2.02,8.0,15243,107,4,9238,65,10
manitoba,47,3.51,10.0,42,3.14,-4.0,5281,395,4,2350,176,12
saskatchewan,37,3.18,-32.0,41,3.52,-38.0,4373,376,1,1014,87,-1
alberta,118,2.75,1.0,59,1.38,6.0,8997,210,7,3238,76,3
columbia inggris,118,2.45,32.0,115,2.39,-5.0,7156,149,-1,2476,51,-18
yukon,8,20.8,,2,5.2,,150,390,-22,12,31,-50
wilayah barat laut,2,4.49,,1,2.25,,449,1009,7,29,65,-6
nunavut,6,15.79,,2,5.26,,395,1040,-8,15,39,47
Kanada,660,1.8,7.0,827,2.25,4.0,55394,151,2,22739,62,2
