kharakteristik,kanola,semua gandum,kedelai,jelai,gandum,jagung untuk biji-bijian
ribu hektar tahun 2018,,,,,,
ribuan hektar Maret 2018,21383.0,25259.0,6452.0,6059.0,3148.0,3758.0
seribu hektar 2018 juni,22740.0,24710.0,6320.0,6499.0,3053.0,3634.0
seribu hektar selisih 2018 %.,6.3,-2.2,-2.0,7.3,-3.0,-3.3
seribu hektar tahun 2017,,,,,,
ribuan hektar Maret 2017,22387.0,23182.0,6956.0,5880.0,3419.0,3751.0
seribu hektar 2017 Juni,22837.0,22361.0,7282.0,5771.0,3220.0,3576.0
ribu hektar 2017 % selisihnya,2.0,-3.5,4.7,-1.9,-5.8,-4.7
ribu hektar tahun 2016,,,,,,
ribuan hektar Maret 2016,19345.0,23846.0,5306.0,6777.0,2972.0,3477.0
seribu hektar 2016 juni,20020.0,23177.0,5465.0,6385.0,2861.0,3330.0
ribu hektar 2016 % selisihnya,3.5,-2.8,3.0,-5.8,-3.7,-4.2
ribu hektar tahun 2015,,,,,,
ribuan hektar Maret 2015,19416.0,24765.0,5375.0,6478.0,3645.0,3268.0
seribu hektar 2015 juni,19840.0,24142.0,5420.0,6511.0,3403.0,3252.0
ribu hektar 2015 % selisihnya,2.2,-2.5,0.8,0.5,-6.6,-0.5
ribu hektar tahun 2014,,,,,,
ribuan hektar Maret 2014,19801.0,24766.0,5264.0,6311.0,3188.0,3369.0
seribu hektar 2014 juni,20228.0,24087.0,5583.0,6089.0,3046.0,3119.0
ribu hektar 2014 % selisihnya,2.2,-2.7,6.1,-3.5,-4.4,-7.4
ribu hektar tahun 2013,,,,,,
ribuan hektar Maret 2013,19133.0,26618.0,4294.0,7240.0,3379.0,3813.0
seribu hektar 2013 Juni,19738.0,25906.0,4589.0,7175.0,3371.0,3645.0
ribu hektar 2013 % selisihnya,3.2,-2.7,6.9,-0.9,-0.2,-4.4
ribu hektar tahun 2012,,,,,,
ribuan hektar Maret 2012,20372.0,24325.0,3969.0,7968.0,3393.0,3562.0
seribu hektar 2012 Juni,21273.0,23812.0,4316.0,7365.0,3074.0,3638.0
ribu hektar 2012 % selisihnya,4.4,-2.1,8.7,-7.6,-9.4,2.2
ribu hektar tahun 2011,,,,,,
ribuan hektar Maret 2011,19225.0,24724.0,3757.0,7833.0,4056.0,3211.0
seribu hektar 2011 Juni,19800.0,23568.0,3885.0,7139.0,3814.0,3041.0
ribu hektar 2011 % selisihnya,3.0,-4.7,3.4,-8.9,-6.0,-5.3
seribu hektar tahun 2010,,,,,,
seribu hektar Maret 2010,16907.0,23221.0,3532.0,8344.0,3992.0,3016.0
seribu hektar 2010 Juni,17895.0,22720.0,3724.0,8052.0,3738.0,2981.0
seribu hektar 2010 % selisihnya,5.8,-2.2,5.4,-3.5,-6.4,-1.2
ribu hektar tahun 2009,,,,,,
ribuan hektar Maret 2009,14990.0,25161.0,3284.0,9476.0,3955.0,3084.0
seribu hektar 2009 Juni,15825.0,24932.0,3476.0,8778.0,3879.0,3041.0
seribu hektar 2009 % selisihnya,5.6,-0.9,5.8,-7.4,-1.9,-1.4
ribu hektar tahun 2008,,,,,,
ribuan hektar Maret 2008,14805.0,25109.0,2985.0,9332.0,4485.0,3005.0
seribu hektar 2008 Juni,15812.0,25100.0,2993.0,9072.0,4382.0,2975.0
seribu hektar 2008 % selisihnya,6.8,0.0,0.3,-2.8,-2.3,-1.0
ribu hektar rata-rata % perubahan menurut jenis tanaman,4.1,-2.4,3.9,-3.1,-4.5,-2.8
