kharakteristik,warga Kanada yang rumah tangganya memiliki: radio yang dioperasikan dengan baterai atau radio yang dapat diputar,warga Kanada yang rumah tangganya memiliki: sumber panas alternatif,warga Kanada yang rumah tangganya memiliki: generator cadangan,warga Kanada yang rumah tangganya memiliki: sumber air alternatif,warga Kanada yang rumah tangganya memiliki: tindakan pencegahan darurat lainnya yang dilakukan di rumah
persen st. milik John,84,54,36,43,26
persen halifax,76,46,27,45,28
persen monton,64,41,20,43,26
persen santo john,75,54,29,63,27
persen saguenay,64,47,24,31,19
persen Quebec,58,43,14,34,19
persen sherbrooke,58,48,18,31,21
persen trois-rivieres,54,47,16,29,17
persen Montreal,57,40,16,32,19
persen ottawa-gatineau,61,46,21,51,22
persen ottawa-gatineau,58,48,14,38,23
persen kingston,64,44,21,50,25
persen peterborough,67,48,25,56,23
persen oshawa,65,47,13,43,18
persen toronto,55,42,14,37,20
persen hamilton,60,51,13,40,20
persen st. catharines-niagara,59,47,22,52,24
persen tukang dapur,64,45,13,42,19
persen Brantford,63,49,21,54,24
persen guelph,61,47,14,43,20
persen London,58,48,17,37,23
persen Windsor,62,44,19,47,18
persen barrie,64,50,23,53,21
persen lebih besar sudbury,66,44,33,44,22
persen teluk guntur,62,47,32,47,22
persen winnipeg,49,37,13,37,19
persen Regina,57,40,16,40,18
persen Saskatoon,60,40,23,37,18
persen calgary,49,44,10,37,15
persen Edmonton,48,40,17,35,20
persen kelowna,50,48,19,41,23
persen misi Abbotsford,56,54,26,53,19
persen Vancouver,57,51,15,44,21
persen Victoria,68,60,19,56,25
persen Kanada,58,48,23,43,21
