kharakteristik,persentase newfoundland dan labrador,persen pulau pangeran Edward,persen nova scotia,persen brunswick baru,persen Quebec,ontario persen,manitoba persen,persen saskatchewan,alberta persen,persen British Columbia,jumlah total,persen total
risiko terkait cuaca/bencana alam,,,,,,,,,,,,
"yang berhubungan dengan cuaca/bencana alam berisiko berupa badai salju, badai musim dingin, badai es, atau suhu dingin ekstrem",96.0,96.0,96.0,95.0,91.0,93.0,96.0,95.0,90.0,44.0,25152220.0,86.0
terkait cuaca/bencana alam berisiko menimbulkan gelombang panas,8.0,22.0,22.0,30.0,63.0,57.0,50.0,41.0,30.0,31.0,14297401.0,49.0
akibat cuaca/bencana alam beresiko banjir,44.0,35.0,37.0,48.0,45.0,36.0,65.0,43.0,45.0,43.0,12257664.0,42.0
yang berhubungan dengan cuaca/bencana alam beresiko gempa bumi,7.0,8.0,7.0,24.0,63.0,34.0,6.0,10.0,14.0,77.0,11990028.0,41.0
yang berhubungan dengan cuaca/bencana alam berisiko menimbulkan kebakaran hutan atau kebakaran hutan,61.0,36.0,61.0,64.0,42.0,23.0,39.0,49.0,51.0,59.0,11501421.0,39.0
yang berhubungan dengan cuaca/bencana alam beresiko kekeringan,6.0,26.0,17.0,25.0,38.0,30.0,47.0,73.0,48.0,26.0,10057721.0,34.0
terkait cuaca/bencana alam beresiko terjadinya angin puting beliung,4.0,8.0,6.0,15.0,33.0,35.0,49.0,68.0,49.0,5.0,9316601.0,32.0
yang berhubungan dengan cuaca/bencana alam beresiko terjadinya angin topan,48.0,56.0,74.0,33.0,22.0,13.0,4.0,6.0,6.0,9.0,4729212.0,16.0
akibat cuaca/bencana alam beresiko longsor atau longsor,14.0,,4.0,6.0,24.0,4.0,,2.0,10.0,35.0,3897169.0,13.0
yang berhubungan dengan cuaca/bencana alam berisiko menimbulkan gelombang badai atau tsunami,31.0,46.0,33.0,15.0,7.0,6.0,3.0,,2.0,33.0,3050485.0,10.0
resiko yang berhubungan dengan cuaca/bencana alam tidak ada resiko,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,5.0,6.0,1094622.0,4.0
jenis risiko lainnya,,,,,,,,,,,,
jenis risiko lainnya memperpanjang pemadaman listrik,89.0,77.0,81.0,80.0,80.0,81.0,70.0,73.0,63.0,65.0,22245917.0,76.0
jenis risiko lain berjangkitnya penyakit serius atau mengancam jiwa,37.0,40.0,47.0,44.0,54.0,50.0,48.0,52.0,51.0,50.0,14804291.0,51.0
jenis risiko lain kecelakaan industri atau transportasi,34.0,37.0,45.0,51.0,51.0,48.0,51.0,62.0,56.0,51.0,14729640.0,50.0
jenis risiko kontaminasi atau kekurangan air atau makanan lainnya,30.0,32.0,32.0,36.0,59.0,37.0,44.0,47.0,41.0,45.0,12799533.0,44.0
jenis risiko lainnya tindakan terorisme atau ancaman teroris,12.0,12.0,20.0,19.0,35.0,29.0,23.0,18.0,27.0,25.0,8230601.0,28.0
jenis lain yang berisiko menimbulkan kerusuhan atau kerusuhan sipil,8.0,9.0,14.0,22.0,37.0,18.0,18.0,15.0,20.0,25.0,6739905.0,23.0
jenis risiko lainnya tanpa risiko,9.0,17.0,13.0,13.0,11.0,12.0,17.0,11.0,17.0,16.0,3853056.0,13.0
