kharakteristik,jumlah penduduk tahun 2015,nomor layanan polisi kota,nomor dinas kepolisian provinsi,nomor polisi kontrak polisi yang dipasang di kerajaan Kanada,nomor polisi federal dan kepolisian lainnya yang dipasang di kerajaan Kanada,jumlah total petugas polisi,petugas polisi per 100.000 penduduk,persen perubahan tarif 2014 menjadi 2015 persen,persen perubahan tarif 2005 ke 2015 persen
newfoundland dan labrador,527756.0,,393.0,401.0,95,889,168.0,-0.4,11.7
pulau pangeran Edward,146447.0,97.0,,102.0,27,226,154.0,-4.4,0.0
Nova Scotia,943002.0,863.0,,810.0,182,1855,197.0,-1.6,13.6
brunswick baru,753871.0,437.0,,688.0,153,1278,170.0,-0.8,-2.2
Quebec,8263600.0,9521.0,5555.0,,935,16011,194.0,-1.7,-0.4
ontario,13792052.0,18414.0,6137.0,,1654,26205,190.0,-0.6,1.6
manitoba,1293378.0,1589.0,,815.0,198,2602,201.0,-2.7,5.1
saskatchewan,1133637.0,1041.0,,988.0,257,2286,202.0,-1.3,-0.4
alberta,4196457.0,4209.0,,2596.0,350,7155,171.0,0.5,6.2
columbia inggris,4683139.0,2534.0,,5265.0,879,8678,185.0,-0.9,4.5
yukon,37428.0,,,112.0,18,130,347.0,-4.8,-7.7
wilayah barat laut,44088.0,,,181.0,20,201,456.0,4.4,14.4
nunavut,36919.0,,,116.0,15,131,355.0,7.6,-11.1
total provinsi dan teritorial,35851774.0,38705.0,12085.0,12074.0,4783,67647,189.0,-0.9,2.2
markas besar polisi dan akademi pelatihan yang dipasang di kerajaan Kanada total provinsi dan teritorial,,,,,1130,1130,,,
Kanada,35851774.0,38705.0,12085.0,12074.0,5913,68777,192.0,-0.9,1.4
