kharakteristik,"kejahatan total - ""tingkat kejahatan"" pribumi","kejahatan total - ""tingkat kejahatan"" non-pribumi",kejahatan kekerasan pribumi,kejahatan kekerasan non-pribumi,kejahatan properti pribumi,kejahatan properti non-pribumi,pelanggaran hukum pidana lainnya pribumi,tindak pidana KUHP lainnya yang bukan merupakan pribumi
menilai newfoundland dan labrador,42407.0,4993.0,8996.0,1228.0,23407.0,2664.0,10004.0,1102.0
menilai pulau pangeran Edward,,4678.0,,1005.0,,2967.0,,706.0
menilai nova scotia,21058.0,4981.0,5433.0,1243.0,10458.0,2819.0,5167.0,919.0
menilai brunswick baru,24174.0,5226.0,8766.0,1296.0,10013.0,3012.0,5394.0,918.0
menilai Quebec,21138.0,3167.0,13279.0,983.0,3722.0,1759.0,4137.0,425.0
menilai ontario,16593.0,4054.0,6049.0,874.0,6793.0,2602.0,3751.0,578.0
menilai manitoba,29892.0,8026.0,9825.0,1475.0,12166.0,5151.0,7900.0,1400.0
menilai saskatchewan,50258.0,9578.0,11540.0,1502.0,25134.0,5539.0,13584.0,2537.0
menilai alberta,34359.0,8281.0,7921.0,1238.0,16918.0,5285.0,9520.0,1758.0
menilai british columbia,10534.0,7378.0,3202.0,1150.0,4177.0,4775.0,3156.0,1453.0
menilai yukon,43028.0,17795.0,10355.0,3356.0,19822.0,8700.0,12850.0,5739.0
menilai wilayah barat laut,56844.0,27792.0,13265.0,4086.0,27824.0,13788.0,15755.0,9917.0
menilai nunavut,38119.0,,8722.0,,16473.0,,12923.0,
menilai Kanada,30333.0,5191.0,9220.0,1047.0,13029.0,3223.0,8084.0,921.0
