kharakteristik,lowongan kerja dalam jumlah ribuan,lapangan kerja dalam jumlah ribuan,pengangguran dalam jumlah ribuan,persen tingkat lowongan kerja,persen tingkat pengangguran
2015,,,,,
kuartal pertama tahun 2015,406.7,14864.7,1345.2,2.7,7.4
kuartal ke-2 tahun 2015,449.3,14932.2,1316.2,2.9,7.1
kuartal ke-3 tahun 2015,405.9,15174.3,1354.8,2.6,7.2
kuartal ke-4 tahun 2015,355.0,15282.1,1239.7,2.3,6.7
2016,,,,,
kuartal pertama tahun 2016,328.2,14970.7,1446.0,2.2,7.8
kuartal ke-2 tahun 2016,391.1,15024.7,1339.1,2.5,7.1
kuartal ke-3 tahun 2016,404.7,15298.7,1366.3,2.6,7.2
kuartal ke-4 tahun 2016,379.9,15447.9,1213.2,2.4,6.5
rata-rata tahun 2016,390.1,15124.4,1327.6,2.5,7.1
