kharakteristik,nomor tahanan tahanan yang dijatuhi hukuman,nomor sisa tahanan,nomor hak asuh sementara lainnya,jumlah total tahanan,persen perubahan hak asuh dari tahun 2015/2016 persen,nomor percobaan pengawasan masyarakat,nomor kalimat bersyarat pengawasan masyarakat,pengawasan masyarakat nomor lainnya,jumlah total pengawasan masyarakat,pengawasan masyarakat total persen perubahan dari tahun 2015/2016 persen,total layanan pemasyarakatan jumlah total,total pelayanan pemasyarakatan total persen perubahan dari tahun 2015/2016 persen
newfoundland dan labrador,977,981.0,92.0,2050,1.0,1323.0,379.0,0,1702,-3.0,3752,-1.0
pulau pangeran Edward,484,186.0,0.0,670,1.0,706.0,25.0,159,890,-2.0,1560,-1.0
Nova Scotia,1642,2881.0,218.0,4741,-6.0,2607.0,643.0,1104,4354,-6.0,9095,-6.0
brunswick baru,2514,2223.0,515.0,5252,4.0,1595.0,520.0,230,2345,0.0,7597,3.0
Quebec,11467,28625.0,3573.0,43665,1.0,9852.0,1816.0,13355,25023,10.0,68688,4.0
ontario,22951,46910.0,4803.0,74664,-1.0,28400.0,3524.0,349,32273,3.0,106937,0.0
manitoba,7114,14375.0,7385.0,28874,4.0,7819.0,898.0,1522,10239,0.0,39113,3.0
saskatchewan,4595,8547.0,250.0,13392,2.0,5003.0,1485.0,3627,10115,3.0,23507,2.0
alberta,20544,26172.0,1778.0,48494,,10026.0,972.0,19594,30592,,79086,
columbia inggris,11279,15011.0,1474.0,27764,5.0,9018.0,1964.0,19603,30585,-1.0,58349,2.0
yukon,118,379.0,7.0,504,-29.0,320.0,95.0,836,1251,4.0,1755,-8.0
wilayah barat laut,412,614.0,0.0,1026,-1.0,342.0,49.0,137,528,13.0,1554,3.0
nunavut,446,444.0,,890,4.0,99.0,30.0,768,897,44.0,1787,21.0
total provinsi dan wilayah,84543,147348.0,20095.0,251986,1.0,77110.0,12400.0,61284,150794,3.0,402780,2.0
federal,4959,,2311.0,7270,-5.0,,,7480,7480,0.0,14750,-2.0
total-semua yurisdiksi,89502,147348.0,22406.0,259256,1.0,77110.0,12400.0,68764,158274,3.0,417530,2.0
