kharakteristik,ijazah perguruan tinggi%,ijazah perguruan tinggi $
perempuan,,
bidang studi,100.0,43415.0
"bidang studi bisnis, manajemen, pemasaran dan layanan pendukung terkait",37.0,43645.0
bidang studi profesi kesehatan dan program terkait,25.0,46047.0
bidang studi ilmu keluarga dan konsumen/ilmu manusia,6.0,36266.0
pria,,
bidang studi,100.0,59304.0
bidang studi teknologi rekayasa dan bidang terkait,21.0,66962.0
"bidang studi bisnis, manajemen, pemasaran dan layanan pendukung terkait",18.0,56816.0
bidang studi mekanik dan perbaikan teknologi/teknisi,11.0,60505.0
