kharakteristik,pekerja nomor 1996,nomor pekerja 2016,persen perubahan jumlah pekerja 1996 ke 2016 persen,proporsi pekerja berusia 55 tahun ke atas pada tahun 1996 persen,proporsi pekerja berusia 55 tahun ke atas pada tahun 2016 persen
pekerjaan,,,,,
asisten eksekutif pekerjaan,11300.0,43600.0,286.0,8.0,25.2
"pekerjaan ahli kecantikan, ahli elektrologi dan pekerjaan terkait",15100.0,57800.0,284.0,5.2,11.2
"pekerjaan pekerjaan profesional di bidang periklanan, pemasaran dan hubungan masyarakat",25300.0,89900.0,256.0,7.9,12.7
pekerjaan manajer komputer dan sistem informasi,20100.0,62200.0,209.0,5.0,15.6
pengawas pekerjaan di bidang kesehatan masyarakat dan lingkungan serta kesehatan dan keselamatan kerja,10200.0,31300.0,207.0,10.6,20.9
pekerjaan pekerja sosial dan layanan masyarakat,48200.0,139800.0,190.0,5.7,17.9
pekerjaan koki,20500.0,59000.0,188.0,8.8,14.5
analis keuangan dan investasi pekerjaan,18900.0,51600.0,173.0,6.1,11.8
pekerjaan sumber daya manusia yang profesional,26800.0,72300.0,170.0,8.5,18.3
pekerjaan pengawas layanan makanan,15300.0,40400.0,164.0,5.6,7.8
petugas administrasi pendudukan,100100.0,260500.0,160.0,10.2,26.0
perwakilan penjualan keuangan pekerjaan,24200.0,60500.0,151.0,4.4,15.8
pekerjaan pasca-sekolah menengah dan asisten peneliti,24900.0,62300.0,150.0,4.1,6.8
petugas pengembangan bisnis pekerjaan dan peneliti dan konsultan pemasaran,25900.0,62900.0,143.0,8.3,15.5
pekerjaan pendidik dan asisten anak usia dini,79900.0,193600.0,142.0,4.6,12.9
agen dan petugas pembelian pekerjaan,18500.0,44300.0,139.0,9.6,23.6
sumber daya manusia pendudukan dan petugas rekrutmen,12900.0,30600.0,137.0,8.0,13.3
pekerjaan ahli kesehatan gigi dan terapis gigi,11100.0,26100.0,136.0,1.0,11.0
pekerjaan pemasang dan penyedia layanan perumahan dan komersial,19800.0,46400.0,135.0,7.3,18.1
pekerjaan pekerjaan profesional dalam konsultasi manajemen bisnis,35200.0,78300.0,123.0,15.0,24.7
"pemimpin program pekerjaan dan instruktur dalam rekreasi, olahraga dan kebugaran",47000.0,104700.0,123.0,3.4,8.7
"pekerjaan manajer senior - keuangan, komunikasi dan layanan bisnis lainnya",28700.0,61400.0,114.0,20.2,32.4
"asisten perawat pekerjaan, perawat dan rekan layanan pasien",117500.0,245500.0,109.0,11.3,23.1
tukang listrik pekerjaan,40100.0,83700.0,109.0,9.5,15.7
pekerjaan asisten guru sekolah dasar dan menengah,57600.0,119900.0,108.0,9.1,24.5
