kharakteristik,2015,2016,2017,2015 hingga 2017
persentase newfoundland dan labrador,0.42,0.0,1.22,0.27
persentase pulau pangeran Edward,0.11,0.51,0.28,0.11
persentase Nova Scotia,0.42,0.47,0.27,0.11
persentase brunswick baru,1.51,0.19,0.04,0.43
persentase Quebec,0.05,0.07,0.18,0.1
persentase ontario,0.13,0.17,0.02,0.11
persentase manitoba,0.01,0.45,0.22,0.07
persentase saskatchewan,0.48,0.19,0.57,0.03
persentase alberta,0.44,0.46,0.26,0.1
persentase british columbia,0.93,0.23,0.07,0.36
persentase yukon,0.34,1.29,4.34,1.13
persentase wilayah barat laut,0.22,0.44,1.37,0.38
persentase nunavut,0.25,1.56,3.02,0.4
