kharakteristik,utang rata-rata 1999,utang rata-rata 2016,perubahan utang median,aset median 1999,aset rata-rata 2016,perubahan aset median
Keluarga senior dengan hutang dolar konstan 2016,9000.0,25000.0,16000.0,327000.0,607400.0,280400.0
Jenis kelamin dolar konstan tahun 2016 dari pencari nafkah utama,,,,,,
Dolar konstan 2016 jenis kelamin laki-laki yang berpenghasilan utama,13800.0,30000.0,16200.0,408700.0,682400.0,273700.0
Dolar konstan 2016 jenis kelamin perempuan yang berpenghasilan besar,4700.0,20000.0,15300.0,198200.0,489400.0,291200.0
Dolar konstan tahun 2016 merupakan usia penghasil pendapatan utama,,,,,,
Dolar konstan 2016 Usia penerima penghasilan utama 65 hingga 69,13300.0,35500.0,22200.0,403400.0,668300.0,264900.0
Dolar konstan 2016 Usia penerima pendapatan utama 70 hingga 74,10400.0,21000.0,10600.0,278600.0,657000.0,378400.0
Dolar konstan 2016 Usia penerima penghasilan utama 75 hingga 79,5500.0,25000.0,19500.0,253900.0,576200.0,322300.0
Dolar Konstan 2016 Usia penerima penghasilan utama 80 tahun ke atas,,,,256000.0,449200.0,193200.0
Dolar konstan 2016 tingkat pendidikan tertinggi bagi pencari nafkah utama,,,,,,
2016 dolar konstan tingkat pendidikan tertinggi bagi mereka yang berpenghasilan utama kurang dari sekolah menengah atas,4800.0,20000.0,15200.0,237300.0,310900.0,73600.0
2016 dolar konstan tingkat pendidikan tertinggi dari ijazah sekolah menengah atas yang berpenghasilan utama,,19000.0,,357200.0,472600.0,115400.0
"2016 dolar konstan tingkat pendidikan tertinggi bagi pencari nafkah utama, sertifikat atau diploma pasca sekolah menengah non-universitas",10100.0,23000.0,12900.0,360700.0,609900.0,249200.0
2016 dolar konstan tingkat pendidikan tertinggi dari gelar atau sertifikat universitas yang menghasilkan pendapatan utama,26300.0,46100.0,19800.0,766700.0,1164700.0,398000.0
Struktur keluarga dolar konstan 2016,,,,,,
Struktur keluarga dolar konstan 2016 individu yang tidak terikat,3500.0,13000.0,9500.0,179700.0,301000.0,121300.0
Struktur keluarga dolar konstan 2016 laki-laki,,12200.0,,259800.0,315200.0,55400.0
Struktur keluarga dolar konstan 2016 perempuan,,13800.0,,163700.0,279000.0,115300.0
"Pasangan struktur keluarga dolar konstan 2016, tanpa anak",13800.0,35000.0,21200.0,425000.0,802900.0,377900.0
Struktur keluarga dolar konstan 2016 tipe keluarga lainnya,,,,357200.0,882400.0,525200.0
Status imigran dolar konstan tahun 2016 sebagai pencari nafkah utama,,,,,,
Status imigran dolar konstan 2016 dari imigran berpenghasilan utama,15800.0,40100.0,24300.0,363500.0,794700.0,431200.0
Status imigran dolar konstan 2016 dari pencari nafkah utama kelahiran Kanada,8300.0,21000.0,12700.0,321400.0,557700.0,236300.0
Status kepemilikan rumah dolar konstan 2016,,,,,,
Pemilik status kepemilikan rumah dolar konstan 2016 dengan hipotek,66300.0,120000.0,53700.0,407600.0,728300.0,320700.0
Pemilik status kepemilikan rumah dolar konstan 2016 tanpa hipotek,6900.0,18000.0,11100.0,421600.0,849000.0,427400.0
Status kepemilikan rumah dolar konstan 2016 bukan pemilik,2100.0,5000.0,2900.0,54200.0,70300.0,16100.0
Status angkatan kerja dolar konstan 2016 sebagai pencari nafkah utama,,,,,,
Status angkatan kerja dolar konstan 2016 dari karyawan berpenghasilan utama,,77000.0,,500100.0,716700.0,216600.0
Status angkatan kerja dolar konstan 2016 dari pencari nafkah utama wiraswasta,69100.0,95300.0,26200.0,665000.0,1116400.0,451400.0
Status angkatan kerja dolar konstan 2016 dari pencari nafkah utama yang bukan angkatan kerja,7200.0,19000.0,11800.0,304300.0,548800.0,244500.0
Kuintil pendapatan keluarga dolar konstan 2016,,,,,,
Kuintil pendapatan keluarga dolar konstan 2016 kuintil terbawah,3500.0,8000.0,4500.0,69900.0,93500.0,23600.0
Kuintil pendapatan keluarga dolar konstan 2016 kuintil kedua,5500.0,13600.0,8100.0,149300.0,339500.0,190200.0
Kuintil pendapatan keluarga dolar konstan 2016 kuintil menengah,9700.0,21000.0,11300.0,328600.0,630500.0,301900.0
Kuintil pendapatan keluarga dolar konstan 2016 kuintil keempat,13900.0,45000.0,31100.0,501600.0,957200.0,455600.0
Kuintil teratas pendapatan keluarga dolar konstan tahun 2016,,74000.0,,750000.0,1538800.0,788800.0
Provinsi atau wilayah tempat tinggal dolar konstan 2016,,,,,,
Provinsi dolar konstan 2016 atau wilayah tempat tinggal Atlantik,6900.0,18000.0,11100.0,185500.0,408100.0,222600.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal quebec,8300.0,16500.0,8200.0,275200.0,406000.0,130800.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal ontario,8600.0,32000.0,23400.0,420400.0,775100.0,354700.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal manitoba,,25000.0,,274900.0,595000.0,320100.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal saskatchewan,,,,342100.0,745200.0,403100.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal alberta,15200.0,53400.0,38200.0,349800.0,695000.0,345200.0
Provinsi dolar konstan 2016 atau wilayah tempat tinggal British Columbia,13800.0,31000.0,17200.0,367700.0,850100.0,482400.0
