kharakteristik,nomor yang dilaporkan,nomor tidak berdasar,persen tidak berdasar,nomor didirikan,tingkat didirikan,nomor yang dibersihkan,persen yang telah dibersihkan
newfoundland dan labrador,,,,,,,
newfoundland dan labrador 2016,4486.0,816.0,18.2,3670.0,692.1,2355.0,64.2
newfoundland dan labrador 2017,4376.0,730.0,16.7,3646.0,689.5,2401.0,65.9
pulau pangeran Edward,,,,,,,
pulau pangeran edward 2016,919.0,323.0,35.1,596.0,398.7,458.0,76.8
pulau pangeran edward 2017,916.0,217.0,23.7,699.0,459.8,527.0,75.4
Nova Scotia,,,,,,,
Nova Scotia 2016,7211.0,1868.0,25.9,5343.0,563.2,4504.0,84.3
Nova Scotia 2017,7088.0,1359.0,19.2,5729.0,600.6,4543.0,79.3
brunswick baru,,,,,,,
brunswick baru 2016,5974.0,1201.0,20.1,4773.0,630.2,3229.0,67.7
brunswick baru 2017,5969.0,1032.0,17.3,4937.0,649.9,3132.0,63.4
Quebec,,,,,,,
Quebec 2016,44980.0,1757.0,3.9,43223.0,519.4,35066.0,81.1
Quebec 2017,45808.0,1544.0,3.4,44264.0,527.3,35773.0,80.8
ontario,,,,,,,
ontario 2016,65925.0,6011.0,9.1,59914.0,428.7,46699.0,77.9
ontario 2017,67830.0,5313.0,7.8,62517.0,440.5,47708.0,76.3
manitoba,,,,,,,
manitoba 2016,18697.0,2710.0,14.5,15987.0,1212.9,13266.0,83.0
manitoba 2017,18535.0,2037.0,11.0,16498.0,1232.9,13644.0,82.7
saskatchewan,,,,,,,
saskatchewan 2016,17104.0,2225.0,13.0,14879.0,1295.4,11308.0,76.0
saskatchewan 2017,16692.0,1694.0,10.1,14998.0,1288.6,11413.0,76.1
alberta,,,,,,,
alberta 2016,36958.0,5749.0,15.6,31209.0,736.7,23986.0,76.9
alberta 2017,36390.0,4511.0,12.4,31879.0,743.8,22954.0,72.0
columbia inggris,,,,,,,
columbia inggris 2016,31420.0,3343.0,10.6,28077.0,590.1,19663.0,70.0
columbia inggris 2017,30617.0,2929.0,9.6,27688.0,574.8,19086.0,68.9
yukon,,,,,,,
Yukon 2016,1218.0,237.0,19.5,981.0,2575.7,776.0,79.1
Yukon 2017,1085.0,186.0,17.1,899.0,2337.6,732.0,81.4
wilayah barat laut,,,,,,,
wilayah barat laut 2016,3228.0,864.0,26.8,2364.0,5298.4,1921.0,81.3
wilayah barat laut 2017,3159.0,547.0,17.3,2612.0,5867.0,2140.0,81.9
nunavut,,,,,,,
nunavut 2016,2477.0,490.0,19.8,1987.0,5344.7,1837.0,92.5
nunavut 2017,2482.0,420.0,16.9,2062.0,5426.9,1835.0,89.0
Kanada,,,,,,,
Kanada 2016,240597.0,27594.0,11.5,213003.0,587.4,165068.0,77.5
Kanada 2017,240947.0,22519.0,9.3,218428.0,595.0,165888.0,75.9
