kharakteristik,2000,2002,2004,2006,2008,2010,2012
menilai newfoundland dan labrador,15.2,13.3,12.1,10.4,8.4,6.5,5.7
menilai pulau pangeran Edward,8.2,7.0,6.4,5.6,5.1,4.4,4.1
menilai nova scotia,10.0,8.9,8.2,7.3,6.8,6.2,5.8
menilai brunswick baru,10.8,10.1,9.3,8.2,7.1,6.4,6.0
menilai kota Quebec,5.4,4.8,4.3,3.8,3.4,3.0,2.3
menilai sherbrooke,6.8,6.1,5.5,4.7,4.5,4.3,3.8
menilai montreal,6.2,5.3,5.1,4.6,4.4,4.5,3.6
"menilai quebec, lainnya",7.0,6.2,5.7,5.1,4.8,4.4,3.6
menilai ottawa-gatineau,5.0,4.4,4.4,4.0,3.7,3.5,3.0
menilai oshawa,2.8,2.8,2.8,2.4,2.3,2.3,2.1
menilai toronto,4.9,4.6,4.9,4.8,4.6,4.7,4.8
menilai hamilton,3.1,3.1,3.2,3.0,2.8,2.8,2.6
menilai st. catharines-niagara,3.3,3.2,3.3,3.3,3.0,3.0,3.0
menilai dapur,2.3,2.2,2.5,2.3,2.1,2.1,2.1
menilai guelph,2.2,2.3,2.5,2.2,2.1,2.2,2.2
menilai London,3.8,3.7,3.9,3.7,3.4,3.1,3.0
menilai Windsor,2.9,3.0,3.3,3.3,3.3,3.5,3.6
"menilai ontario, lainnya",4.2,4.0,4.0,3.7,3.3,3.1,3.0
menilai winnipeg,5.5,5.0,5.1,4.5,4.0,3.7,3.5
"menilai manitoba, lainnya",11.4,10.0,9.5,9.3,8.4,8.0,7.8
menilai Regina,5.5,5.2,5.0,4.3,3.6,2.6,2.3
menilai saskatoon,6.6,6.2,6.0,5.1,3.8,2.6,2.3
"menilai saskatchewan, lainnya",10.4,9.4,9.1,8.2,6.7,5.1,4.7
menilai calgary,3.4,2.9,2.9,2.1,1.7,1.8,1.5
menilai Edmonton,4.2,3.6,3.2,2.5,2.0,1.8,1.3
"menilai alberta, lainnya",6.5,5.4,4.9,3.6,3.1,2.8,2.3
menilai Vancouver,6.1,6.2,6.1,5.6,4.7,4.6,4.7
menilai Victoria,5.7,5.6,5.4,4.8,3.9,3.6,3.5
"menilai british columbia, lainnya",7.4,7.3,7.0,6.0,4.8,4.5,4.5
