kharakteristik,jumlah perusahaan swasta milik laki-laki,total lapangan kerja perusahaan swasta milik laki-laki,jumlah perusahaan swasta milik perempuan,total lapangan kerja perusahaan swasta milik perempuan,perusahaan swasta yang dimiliki secara setara jumlah perusahaan,total lapangan kerja perusahaan swasta yang dimiliki secara setara
nomor 2005,906400,3960700,232800,754400,197300,657300
nomor 2006,945600,4035100,244200,782200,207300,680700
nomor 2007,987100,4120700,257800,809500,218300,699400
nomor 2008,1018700,4171100,270600,818900,227900,717000
nomor 2009,1034500,4082500,280900,819300,233000,712700
nomor 2010,1055200,4156900,290000,845300,238800,721600
nomor 2011,1066400,4183200,296800,863800,247400,722800
nomor 2012,1055800,4177400,295800,866500,249700,726600
nomor 2013,1104700,4256500,308700,897900,260500,738800
angka rata-rata,1019400,4127100,275300,828700,231100,708600
