kharakteristik,pelanggaran terkait senjata api dengan perubahan nomor mmp pra-2008,pelanggaran terkait senjata api dengan perubahan mmp sebelum tahun 2008 persen,pelanggaran terkait senjata api dengan perubahan nomor mmp pasca 2008,pelanggaran terkait senjata api dengan perubahan mmp pasca 2008 persen,pelanggaran terkait senjata api dengan nomor mmp tidak berubah sebelum tahun 2008,pelanggaran terkait senjata api dengan mmp tidak berubah sebelum tahun 2008 persen,pelanggaran terkait senjata api dengan nomor mmp tidak berubah pasca tahun 2008,pelanggaran terkait senjata api dengan mmp tidak berubah sejak tahun 2008 persen
jumlah biaya per kasus,,,,,,,,
total kasus yang diselesaikan,905.0,100.0,812.0,100.0,1349.0,100.0,1606.0,100.0
total kasus yang diselesaikan satu kali biaya,69.0,8.0,32.0,4.0,56.0,4.0,65.0,4.0
total kasus yang diselesaikan beberapa tagihan,836.0,92.0,780.0,96.0,1293.0,96.0,1541.0,96.0
jumlah penampilan dalam kasus ini,,,,,,,,
total kasus yang diselesaikan,905.0,100.0,812.0,100.0,1349.0,100.0,1606.0,100.0
total kasus yang diselesaikan 1 atau 2 penampilan,100.0,11.0,35.0,4.0,117.0,9.0,52.0,3.0
total kasus yang diselesaikan 3 hingga 5 penampilan,129.0,14.0,63.0,8.0,252.0,19.0,221.0,14.0
total kasus yang diselesaikan 6 hingga 10 penampilan,249.0,28.0,183.0,23.0,398.0,30.0,510.0,32.0
total kasus yang diselesaikan selama 10 penampilan,427.0,47.0,531.0,65.0,582.0,43.0,823.0,51.0
panjang kasus,,,,,,,,
total kasus yang diselesaikan,905.0,100.0,812.0,100.0,1349.0,100.0,1606.0,100.0
total kasus yang diselesaikan 1 hari,32.0,4.0,8.0,1.0,22.0,2.0,18.0,1.0
total kasus selesai 2 hari hingga kurang dari 2 bulan,134.0,15.0,72.0,9.0,188.0,14.0,168.0,10.0
total kasus selesai 2 hingga kurang dari 4 bulan,138.0,15.0,94.0,12.0,197.0,15.0,216.0,13.0
total kasus yang diselesaikan 4 hingga kurang dari 8 bulan,277.0,31.0,187.0,23.0,375.0,28.0,397.0,25.0
total kasus yang diselesaikan 8 hingga kurang dari 12 bulan,146.0,16.0,176.0,22.0,273.0,20.0,324.0,20.0
total kasus yang diselesaikan 1 tahun atau lebih,178.0,20.0,275.0,34.0,294.0,22.0,483.0,30.0
