kharakteristik,nomor pria,persen laki-laki,nomor perempuan,persen perempuan
pelanggaran kekerasan,56805,82,12460,18
pelanggaran kekerasan pembunuhan,182,86,29,14
pelanggaran kekerasan percobaan pembunuhan,114,89,14,11
pelanggaran kekerasan perampokan,2403,89,310,11
pelanggaran kekerasan penyerangan seksual,2239,98,46,2
pelanggaran kekerasan pelanggaran seksual lainnya,2715,97,87,3
pelanggaran kekerasan serangan besar,12002,77,3564,23
pelanggaran kekerasan penyerangan biasa,21036,77,6166,23
pelanggaran kekerasan yang mengucapkan ancaman,11911,88,1635,12
pelanggaran kekerasan pelecehan pidana,2178,88,305,12
pelanggaran kekerasan pelanggaran kekerasan lainnya,2025,87,304,13
pelanggaran properti,51118,72,19971,28
pencurian pelanggaran properti,20788,65,11076,35
pelanggaran properti menerobos dan masuk,6755,87,988,13
penipuan pelanggaran properti,6391,67,3181,33
pelanggaran properti kenakalan,9206,82,1966,18
pelanggaran properti memiliki properti curian,6852,73,2599,27
pelanggaran properti pelanggaran properti lainnya,1126,87,161,13
administrasi pelanggaran peradilan,54175,82,12083,18
pelanggaran administrasi peradilan gagal muncul,2756,76,876,24
pelanggaran administrasi peradilan pelanggaran masa percobaan,21770,84,4274,16
pelanggaran administrasi peradilan secara luas secara melawan hukum,1762,90,200,10
pelanggaran administrasi peradilan gagal untuk mematuhi perintah,22823,81,5224,19
pelanggaran administrasi peradilan pelanggaran administrasi peradilan lainnya,5064,77,1509,23
pelanggaran hukum pidana lainnya,10626,87,1639,13
senjata tindak pidana KUHP lainnya,7055,90,793,10
tindak pidana prostitusi lainnya,261,84,50,16
tindak pidana lain yang mengganggu ketentraman,847,83,174,17
sisa tindak pidana KUHP sisa tindak pidana KUHP,2463,80,622,20
hukum pidana,172724,79,46153,21
KUHP pelanggaran lalu lintas,32173,82,6911,18
KUHP pelanggaran lalu lintas gangguan mengemudi,24832,81,5822,19
KUHP pelanggaran lalu lintas lainnya KUHP pelanggaran lalu lintas,7341,87,1089,13
total pelanggaran hukum pidana,204897,79,53064,21
pelanggaran undang-undang federal lainnya,33869,85,6116,15
pelanggaran undang-undang federal lainnya kepemilikan narkoba,10842,85,1947,15
pelanggaran undang-undang federal lainnya pelanggaran narkoba lainnya,6456,79,1671,21
undang-undang federal lainnya melanggar tindakan peradilan pidana remaja,568,81,132,19
pelanggaran undang-undang federal lainnya sisa pelanggaran undang-undang federal,16003,87,2366,13
pelanggaran total,238766,80,59180,20
