kharakteristik,nomor tahanan hukuman terberat,persen tahanan hukuman paling berat,nomor kalimat bersyarat kalimat paling serius,kalimat paling serius kalimat bersyarat persen,nomor percobaan hukuman paling serius,persen hukuman percobaan paling berat,nomor denda kalimat paling serius,kalimat paling serius denda persen,kalimat paling serius nomor kalimat lainnya,kalimat paling serius kalimat lainnya persen,jumlah kasus bersalah total hukuman paling berat,hukuman paling berat total kasus bersalah persen
kasus kekerasan pasangan intim (ipv).,,,,,,,,,,,,
kasus kekerasan pasangan intim (ipv) penyerangan umum,5960.0,15.0,1209.0,3.0,28322.0,70.0,801.0,2.0,4296.0,11.0,40588.0,100.0
kekerasan pasangan intim (ipv) kasus penyerangan besar,4520.0,48.0,978.0,10.0,3156.0,33.0,60.0,1.0,715.0,8.0,9429.0,100.0
kasus kekerasan pasangan intim (ipv) yang melontarkan ancaman,3495.0,33.0,534.0,5.0,5697.0,53.0,200.0,2.0,774.0,7.0,10700.0,100.0
kekerasan pasangan intim (ipv) kasus pelecehan kriminal,914.0,32.0,173.0,6.0,1578.0,56.0,18.0,1.0,157.0,6.0,2840.0,100.0
kekerasan pasangan intim (ipv) kasus kenakalan,1062.0,21.0,181.0,4.0,3256.0,63.0,283.0,6.0,359.0,7.0,5141.0,100.0
kasus kekerasan pasangan intim (ipv) pelanggaran masa percobaan,5100.0,63.0,512.0,6.0,1649.0,20.0,519.0,6.0,380.0,5.0,8160.0,100.0
kasus kekerasan pasangan intim (ipv) kegagalan untuk mematuhi perintah pengadilan,5619.0,36.0,517.0,3.0,5275.0,33.0,2292.0,15.0,2078.0,13.0,15781.0,100.0
kekerasan pasangan intim (ipv) kasus kekerasan seksual,312.0,61.0,70.0,14.0,77.0,15.0,0.0,0.0,56.0,11.0,515.0,100.0
kekerasan pasangan intim (ipv) kasus pelanggaran lainnya,6666.0,46.0,963.0,7.0,4203.0,29.0,1662.0,12.0,920.0,6.0,14414.0,100.0
kasus kekerasan pasangan intim (ipv) total kasus ipv bersalah,33648.0,31.0,5137.0,5.0,53213.0,49.0,5835.0,5.0,9735.0,9.0,107568.0,100.0
kasus kekerasan pasangan non-intim (non-ipv).,,,,,,,,,,,,
kasus kekerasan pasangan non-intim (non-ipv) penyerangan umum,3007.0,15.0,664.0,3.0,13299.0,65.0,1402.0,7.0,1952.0,10.0,20324.0,100.0
kekerasan pasangan non-intim (non-ipv) kasus penyerangan besar,7007.0,45.0,1575.0,10.0,5221.0,34.0,528.0,3.0,1091.0,7.0,15422.0,100.0
kasus kekerasan pasangan nonintim (non-ipv) yang melontarkan ancaman,3437.0,36.0,448.0,5.0,4720.0,49.0,412.0,4.0,647.0,7.0,9664.0,100.0
kekerasan pasangan non-intim (non-ipv) kasus pelecehan pidana,305.0,27.0,69.0,6.0,668.0,60.0,11.0,1.0,62.0,6.0,1115.0,100.0
kekerasan pasangan non-intim (non-ipv) kasus kenakalan,738.0,22.0,107.0,3.0,2024.0,61.0,272.0,8.0,195.0,6.0,3336.0,100.0
kasus kekerasan pasangan non-intim (non-ipv) pelanggaran masa percobaan,2431.0,60.0,241.0,6.0,896.0,22.0,308.0,8.0,202.0,5.0,4078.0,100.0
kasus kekerasan pasangan non-intim (non-ipv) kegagalan untuk mematuhi perintah pengadilan,2295.0,37.0,175.0,3.0,1697.0,28.0,1069.0,17.0,931.0,15.0,6167.0,100.0
kasus kekerasan pasangan non-intim (non-ipv) kekerasan seksual,1540.0,47.0,570.0,17.0,819.0,25.0,21.0,1.0,353.0,11.0,3303.0,100.0
kekerasan pasangan non-intim (non-ipv) kasus pelanggaran lainnya,13357.0,55.0,1684.0,7.0,5849.0,24.0,2007.0,8.0,1516.0,6.0,24413.0,100.0
kasus kekerasan pasangan non-intim (non-ipv) total kasus non-ipv yang bersalah,34117.0,39.0,5533.0,6.0,35193.0,40.0,6030.0,7.0,6949.0,8.0,87822.0,100.0
total kasus bersalah,67765.0,,10670.0,,88406.0,,11865.0,,16684.0,,195390.0,
