kharakteristik,perkiraan total,total interval kepercayaan 95% dari,total interval kepercayaan 95% menjadi,perkiraan di bawah reporter,interval kepercayaan 95% di bawah reporter dari,interval kepercayaan 95% di bawah reporter,perkiraan wartawan yang masuk akal,reporter yang masuk akal dengan interval kepercayaan 95% dari,reporter yang masuk akal dengan interval kepercayaan 95%.,perkiraan wartawan yang berlebihan,interval kepercayaan 95% dari reporter yang berlebihan,interval kepercayaan 95% terhadap reporter yang berlebihan
minuman yang dimaniskan dengan gula,-71,-78,-64,-30,-39,-21,-70,-78,-62,-86,-114,-57
daging,-37,-51,-23,-8,-24,9,-10,-28,8,-71,-122,-20
susu,-34,-40,-27,-12,-19,-4,-26,-33,-18,-44,-68,-20
"pasta, nasi, biji-bijian sereal dan tepung",-25,-37,-13,16,2,30,-4,-18,9,-59,-106,-13
gula,-20,-25,-14,-3,-8,2,-11,-17,-5,-34,-57,-12
kue kering,19,10,28,9,-2,20,32,20,45,30,-1,61
minyak,-18,-25,-10,12,5,20,-3,-12,6,-46,-75,-16
sereal sarapan,-17,-23,-12,3,-5,10,-12,-20,-5,-53,-75,-31
sup,-13,-18,-8,-3,-9,3,-5,-12,1,-37,-54,-19
"kentang, goreng, panggang, keripik",-10,-17,-4,0,-6,6,-8,-15,0,1,-32,35
keju,-10,-17,-2,-4,-11,3,-7,-17,3,49,16,83
gila,10,2,17,11,2,19,16,6,26,29,-6,63
