kharakteristik,mudah didekati dan diajak bicara,menjamin keselamatan warga negara,segera menanggapi panggilan,memperlakukan orang dengan adil,menegakkan hukum,memberikan informasi tentang cara-cara mencegah kejahatan
persen Newfoundland dan Labrador,80,67,59,70,56,65
persen pulau pangeran Edward,81,72,73,76,65,65
persen nova scotia,75,68,65,67,58,60
persen brunswick baru,76,72,68,72,66,63
persen Quebec,71,76,75,75,71,66
persen ontario,73,70,70,67,65,61
persen manitoba,71,64,54,63,55,57
persen saskatchewan,72,63,55,63,55,58
persen alberta,71,67,64,66,61,61
persen British Columbia,73,67,65,65,61,59
persen total - provinsi Kanada,73,70,68,68,65,62
