kharakteristik,penilaian rata-rata pemilik nilai yang berimigrasi ke Kanada sebagai pengungsi yang dimukimkan kembali,nilai penilaian rata-rata pemilik kelahiran Kanada,perbedaan nilai penilaian rata-rata,penilaian median pemilik nilai yang berimigrasi ke Kanada sebagai pengungsi yang dimukimkan kembali,nilai penilaian median pemilik kelahiran Kanada,perbedaan nilai median penilaian
dolar vancouver 2017,,,,,,
dolar vancouver 2017 semua jenis properti,861400.0,1073000.0,-211600.0,710600.0,851000.0,-140400.0
Single vancouver dolar 2017 terpisah,1283600.0,1512400.0,-228800.0,1142000.0,1254100.0,-112100.0
dolar vancouver 2017 semi-terpisah,1009400.0,1270200.0,-260800.0,987000.0,1205000.0,-218000.0
Rumah petak vancouver dolar 2017,583900.0,706900.0,-123000.0,545600.0,617000.0,-71400.0
Kondominium vancouver dolar 2017,516000.0,619700.0,-103700.0,463000.0,515000.0,-52000.0
toronto dolar 2016,,,,,,
toronto dolar 2016 semua jenis properti,614800.0,715000.0,-100200.0,572000.0,618000.0,-46000.0
toronto dolar 2016 tunggal terpisah,768800.0,849300.0,-80500.0,696000.0,724000.0,-28000.0
toronto dolar 2016 semi-terpisah,562000.0,656800.0,-94800.0,538000.0,587000.0,-49000.0
Rumah petak toronto dolar 2016,451400.0,520600.0,-69200.0,441000.0,463000.0,-22000.0
Kondominium toronto dolar 2016,328300.0,420400.0,-92100.0,303000.0,359000.0,-56000.0
