kharakteristik,ontario n,ontario %,manitoba n,manitoba %
1992 hingga 2008,876624.0,97.9,108314.0,95.8
1992 hingga 2008 1992,42953.0,96.8,6068.0,88.2
1992 hingga 2008 1993,43690.0,96.9,6253.0,93.1
1992 hingga 2008 1994,44347.0,97.1,6237.0,94.6
1992 hingga 2008 1995,44108.0,97.4,6135.0,94.2
1992 hingga 2008 1996,44677.0,97.4,6046.0,93.5
1992 hingga 2008 1997,47129.0,97.8,6226.0,94.7
1992 hingga 2008 1998,48003.0,97.8,6381.0,95.2
1992 hingga 2008 1999,49493.0,98.0,6392.0,95.1
1992 hingga 2008 2000,50942.0,98.1,6586.0,96.0
1992 hingga 2008 2001,52308.0,98.4,6590.0,96.2
1992 hingga 2008 2002,53381.0,98.1,6622.0,96.6
1992 hingga 2008 2003,54000.0,98.1,6458.0,97.1
1992 hingga 2008 2004,56776.0,98.1,6452.0,97.8
1992 hingga 2008 2005,59310.0,98.3,6334.0,98.4
1992 hingga 2008 2006,60863.0,98.2,6256.0,98.8
1992 hingga 2008 2007,62927.0,98.3,6569.0,98.9
1992 hingga 2008 2008,61717.0,98.5,6709.0,99.2
