kharakteristik,jenis kanker prostat,jenis kanker payudara wanita,jenis kanker kolorektal,jenis kanker paru-paru
newfoundland dan labrador,,,,
newfoundland dan labrador n,1556.0,1289.0,1867.0,1306.0
newfoundland dan labrador%,91.6,98.1,98.7,94.4
newfoundland dan labrador% ac,63.8,83.5,95.2,85.2
pulau pangeran Edward,,,,
pulau pangeran Edward n,536.0,370.0,417.0,465.0
pulau pangeran Edward%,83.4,96.8,98.6,96.3
pulau pangeran Edward% ac,64.4,93.2,94.2,86.2
Nova Scotia,,,,
nova scotia n,3270.0,2903.0,3231.0,3457.0
nova skotia %,87.2,96.2,97.4,94.0
nova scotia% ac,64.9,79.2,92.6,84.5
brunswick baru,,,,
brunswick baru n,2952.0,2148.0,2106.0,2802.0
brunswick baru %,79.5,97.2,97.0,94.9
brunswick baru% ac,58.7,77.6,95.8,91.4
ontario,,,,
ontario n,36600.0,31288.0,29684.0,30052.0
ontario %,62.6,56.9,93.5,87.4
ontario% ac,62.6,56.8,93.5,87.3
manitoba,,,,
manitoba n,2561.0,3124.0,3139.0,3289.0
manitoba %,77.2,95.6,97.8,94.1
manitoba% ac,64.3,71.6,92.9,85.4
saskatchewan,,,,
saskatchewan n,3231.0,2667.0,2729.0,2803.0
saskatchewan %,86.9,97.5,98.0,94.5
saskatchewan% ac,60.9,91.8,94.4,89.9
alberta,,,,
alberta n,8282.0,7646.0,6635.0,7052.0
alberta %,65.7,86.4,94.4,84.8
alberta% ac,65.4,86.3,94.2,83.8
columbia inggris,,,,
columbia inggris n,12328.0,11131.0,10260.0,11037.0
columbia inggris %,80.9,95.6,96.9,92.8
columbia inggris% ac,58.1,76.2,92.9,81.8
