kharakteristik,jumlah total lowongan kerja,lowongan pekerjaan nomor pekerjaan tingkat awal,proporsi persen pekerjaan tingkat pemula,menawarkan upah dolar
pengelolaan,24400.0,4200,17.6,28.5
tingkat keterampilan a: pekerjaan yang biasanya memerlukan pendidikan universitas,49300.0,17000,34.5,29.3
tingkat keterampilan a: pekerjaan yang biasanya memerlukan pendidikan universitas 11,professional in business and finance,13400,5400.0,40.3
tingkat keterampilan a: pekerjaan yang biasanya memerlukan pendidikan universitas 21,professional in natural and applied sciences,15300,2900.0,19.0
tingkat keterampilan a: pekerjaan yang biasanya memerlukan pendidikan universitas 30-31,professional in health,9800,5200.0,53.1
tingkat keterampilan a: pekerjaan yang biasanya memerlukan pendidikan universitas 40,professional in education services,4400,2100.0,47.7
tingkat keterampilan a: pekerjaan yang biasanya memerlukan pendidikan universitas 41,"professional in law and social, community and government services",5100,1100.0,21.6
tingkat keterampilan a: pekerjaan yang biasanya memerlukan pendidikan universitas 51,professional in art and culture,1300,300.0,23.1
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang,99500.0,30000,30.5,18.2
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 12,administrative and financial supervisors and administrative,11100,2600.0,23.4
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 13,"finance, insurance and related business administrative",2300,500.0,19.2
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 22,technical related to natural and applied sciences,10200,2500.0,24.5
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 32,technical in health,6000,3500.0,58.3
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 42,"paraprofessional in legal, social, community and education services",7000,2600.0,37.1
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 52,"technical in art, culture, recreation and sport",7200,3400.0,47.2
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 62,retail sales supervisors and specialized sales,7200,2300.0,31.9
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 63,service supervisors and specialized service,20600,7000.0,34.0
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 72,"industrial, electrical and construction trades",17200,3700.0,21.5
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 73,maintenance and equipment operation trades,8200,1500.0,18.3
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 82,"supervisors and technical occupations in natural resources, agricultural and related",1200,200.0,16.7
tingkat keterampilan b: pekerjaan yang biasanya memerlukan pendidikan perguruan tinggi atau pelatihan magang 92,"processing, manufacturing and utilities supervisors and central control operators",1300,200.0,15.4
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas,120800.0,66800,55.3,14.0
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 14,office support,10400,4200.0,40.4
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 15,"distribution, tracking and scheduling co-ordination",5300,3000.0,56.6
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 34,assisting in support of health services,7200,4600.0,63.9
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 44,"care providers and educational, legal and public protection support",3300,2000.0,60.6
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 64,sales representatives and salespersons - wholesale and retail trade,26200,15900.0,60.7
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 65,service representatives and other customer and personal services,31700,18200.0,57.4
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 74,"other installers, repairers and servicers and material handlers",6300,3600.0,57.1
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 75,transport and heavy equipment operation and related maintenance,14600,5100.0,34.9
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 84,"workers in natural resources, agriculture and related production",6900,5400.0,78.3
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 94,processing and manufacturing machine operators and related production workers,5400,2900.0,53.7
tingkat keterampilan c: pekerjaan yang biasanya memerlukan pendidikan sekolah menengah atas 95,assemblers in manufacturing,3500,1900.0,54.3
tingkat keterampilan d: pekerjaan yang memerlukan pelatihan kerja atau tanpa pendidikan,72200.0,57400,79.5,12.7
tingkat keterampilan d: pekerjaan yang memerlukan pelatihan kerja atau tanpa pendidikan 66,sales support,16100,13900.0,86.3
tingkat keterampilan d: pekerjaan yang memerlukan pelatihan kerja atau tanpa pendidikan 67,service support and other service,35200,28500.0,81.0
tingkat keterampilan d: pekerjaan yang memerlukan pelatihan kerja atau tanpa pendidikan 76,"trades helpers, construction labourers and related",7000,4500.0,64.3
tingkat keterampilan d: pekerjaan yang memerlukan pelatihan kerja atau tanpa pendidikan 86,"harvesting, landscaping and natural resources labourers",6300,4800.0,76.2
tingkat keterampilan d: pekerjaan yang memerlukan pelatihan kerja atau tanpa pendidikan 96,"labourers in processing, manufacturing and utilities",7600,5700.0,75.0
