kharakteristik,nomor antarprovinsi,tarif antarprovinsi,nomor intraprovinsi,tarif intraprovinsi,nomor dalam,tarif internal
lima migrasi internal bersih terbesar,,,,,,
lima simcoe migrasi internal bersih terbesar,-501.0,-1.0,8763.0,17.8,8262.0,16.8
lima modal migrasi internal bersih terbesar,3918.0,10.1,2110.0,5.5,6028.0,15.6
lima migrasi internal bersih terbesar di lembah fraser,1333.0,4.4,4185.0,13.8,5518.0,18.2
lima migrasi internal bersih terbesar di Durham,-619.0,-0.9,5743.0,8.6,5124.0,7.7
lima migrasi internal bersih terbesar ottawa,3181.0,3.3,1659.0,1.7,4840.0,5.0
lima tingkat migrasi internal bersih terbesar,,,,,,
lima tingkat migrasi internal bersih terbesar mirabel,7.0,0.1,1077.0,21.3,1084.0,21.4
lima tingkat migrasi internal bersih terbesar di okanagan tengah,2770.0,14.0,1238.0,6.3,4008.0,20.3
lima tingkat migrasi internal bersih terbesar okanagan-similkameen,932.0,11.5,649.0,8.0,1581.0,19.4
lima tingkat migrasi internal bersih terbesar dufferin,-160.0,-2.5,1381.0,21.8,1221.0,19.3
lima tingkat migrasi internal bersih terbesar nanaimo,1757.0,11.3,1190.0,7.7,2947.0,19.0
lima migrasi internal bersih terendah,,,,,,
lima migrasi internal bersih terendah di Montreal,-5654.0,-2.8,-17032.0,-8.5,-22686.0,-11.4
lima migrasi internal bersih terendah toronto,5515.0,1.9,-28073.0,-9.9,-22558.0,-7.9
lima migrasi internal bersih terendah,1177.0,0.8,-10419.0,-7.2,-9242.0,-6.4
lima migrasi internal bersih terendah york,292.0,0.3,-5218.0,-4.6,-4926.0,-4.3
lima divisi migrasi internal bersih terendah no. 16,-1944.0,-25.4,-2962.0,-38.7,-4906.0,-64.0
lima tingkat migrasi internal bersih terendah,,,,,,
lima divisi tingkat migrasi internal bersih terendah no. 16,-1944.0,-25.4,-2962.0,-38.7,-4906.0,-64.0
lima tingkat migrasi internal bersih terendah di Pegunungan Rocky Utara,-113.0,-21.0,-136.0,-25.2,-249.0,-46.2
lima tingkat migrasi internal bersih terendah yang ditetapkan,-14.0,-27.8,-9.0,-17.8,-23.0,-45.6
lima divisi tingkat migrasi internal bersih terendah no. 18,-219.0,-14.5,-293.0,-19.4,-512.0,-33.9
lima divisi tingkat migrasi internal bersih terendah no. 15,-212.0,-9.8,-277.0,-12.8,-489.0,-22.6
tiga divisi sensus terbesar di Kanada,,,,,,
"tiga divisi sensus terbesar di Kanada, Toronto",5515.0,1.9,-28073.0,-9.9,-22558.0,-7.9
"tiga divisi sensus terbesar di Kanada, Vancouver Raya",9088.0,3.6,-9928.0,-3.9,-840.0,-0.3
"tiga divisi sensus terbesar Kanada, montreal",-5654.0,-2.8,-17032.0,-8.5,-22686.0,-11.4
