kharakteristik,nomor pasangan saat ini/mantan,persen pasangan saat ini/mantan,nomor hubungan intim,persen hubungan intim,nomor keluarga lainnya,persen keluarga lainnya,nomor kenalan,persen kenalan,nomor asing,persen asing,jumlah total,persen total
pembunuhan,10.0,23.8,0.0,0.0,16.0,38.1,13.0,31.0,3.0,7.1,42.0,100.0
percobaan pembunuhan,9.0,23.1,10.0,25.6,6.0,15.4,8.0,20.5,6.0,15.4,39.0,100.0
pelanggaran lain yang menyebabkan kematian,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,3.0,60.0,5.0,100.0
penyerangan seksual - semua tingkatan,8.0,4.0,23.0,11.6,43.0,21.7,106.0,53.5,18.0,9.1,198.0,100.0
pelanggaran seksual lainnya,0.0,0.0,9.0,10.1,28.0,31.5,42.0,47.2,10.0,11.2,89.0,100.0
pelanggaran seksual lainnya pelanggaran seksual khusus terhadap anak,0.0,0.0,8.0,12.9,18.0,29.0,27.0,43.5,9.0,14.5,62.0,100.0
pelanggaran seksual lainnya pelanggaran seksual yang tidak khusus terjadi pada anak-anak,0.0,0.0,1.0,3.7,10.0,37.0,15.0,55.6,1.0,3.7,27.0,100.0
penyerangan - level 3 - diperburuk,45.0,16.7,93.0,34.4,42.0,15.6,68.0,25.2,22.0,8.1,270.0,100.0
penyerangan - level 2 - senjata atau cedera tubuh,1310.0,22.9,1476.0,25.8,985.0,17.2,1452.0,25.3,506.0,8.8,5729.0,100.0
serangan - level 1 - serangan umum,4227.0,18.3,4910.0,21.3,4400.0,19.1,7540.0,32.7,1993.0,8.6,23070.0,100.0
serangan lainnya,11.0,0.7,13.0,0.9,18.0,1.2,439.0,28.9,1038.0,68.3,1519.0,100.0
"kurungan paksa, penculikan atau penculikan",19.0,13.7,25.0,18.0,64.0,46.0,18.0,12.9,13.0,9.4,139.0,100.0
perampokan,1.0,0.3,18.0,4.6,9.0,2.3,109.0,27.9,254.0,65.0,391.0,100.0
pemerasan,6.0,7.8,24.0,31.2,5.0,6.5,24.0,31.2,18.0,23.4,77.0,100.0
pelecehan kriminal,191.0,14.0,291.0,21.3,120.0,8.8,687.0,50.2,79.0,5.8,1368.0,100.0
panggilan telepon yang mengancam atau melecehkan,46.0,7.7,128.0,21.3,96.0,16.0,282.0,46.9,49.0,8.2,601.0,100.0
mengucapkan ancaman,336.0,8.3,316.0,7.8,536.0,13.2,2475.0,61.0,397.0,9.8,4060.0,100.0
komodifikasi aktivitas seksual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
pelanggaran hukum pidana kekerasan lainnya,8.0,5.7,7.0,5.0,33.0,23.6,75.0,53.6,17.0,12.1,140.0,100.0
total,6227.0,16.5,7343.0,19.5,6401.0,17.0,13340.0,35.3,4426.0,11.7,37737.0,100.0
