kharakteristik,jumlah penduduk ribuan,jenis populasi persentase imigran,jenis populasi persentase generasi kedua,jenis populasi populasi dengan persentase latar belakang imigran
sensus wilayah metropolitan vancouver,2272.7,40.1,15.7,55.8
"sensus wilayah metropolitan vancouver langley, dm",103.1,18.0,10.7,28.7
sensus wilayah metropolitan vancouver surrey,463.3,40.5,18.9,59.5
sensus wilayah metropolitan delta vancouver,98.7,28.9,14.9,43.8
sensus wilayah metropolitan vancouver richmond,189.3,59.6,15.4,75.0
vancouver,590.2,43.8,17.0,60.8
vancouver burnaby,220.3,50.5,17.8,68.2
vancouver new westminster,65.1,33.4,14.6,48.0
vancouver coquitlam,125.0,41.7,13.7,55.3
pelabuhan coquitlam vancouver,55.8,29.4,12.9,42.3
"vancouver vancouver utara, dm",83.6,29.9,11.9,41.7
"vancouver vancouver utara, cy",47.7,37.2,12.0,49.2
vancouver vancouver barat,42.0,40.7,11.4,52.2
punggung bukit maple vancouver,75.1,17.2,9.9,27.1
